group,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
group,사업체수,노동자수,매출액,지역내총생산,산업대출규모,상용총근로시간.시간.,상용소정실근로시간.시간.,상용초과근로시간.시간.,상용월급여액.원.,상용정액급여.원.,상용초과급여.원.,상용특별급여.원.,사업체수,노동자수,매출액,지역내총생산,산업대출규모,상용총근로시간.시간.,상용소정실근로시간.시간.,상용초과근로시간.시간.,상용월급여액.원.,상용정액급여.원.,상용초과급여.원.,상용특별급여.원.,사업체수,노동자수,매출액,지역내총생산,산업대출규모,상용총근로시간.시간.,상용소정실근로시간.시간.,상용초과근로시간.시간.,상용월급여액.원.,상용정액급여.원.,상용초과급여.원.,상용특별급여.원.
total,"820,156","5,079,451","1,637,118,142","380,679,274","322,826.40",,,,,,,,"822,863","5,119,913","1,693,673,790","389,584,629","331,491.50",,,,,,,,"823,385","5,210,936","1,731,313,318","403,605,888","349,762.50",,,,,,,
A,25,464,"324,115","389,413","1,182.40",,,,,,,,29,469,"424,448","395,667","1,309.40",,,,,,,,30,462,"235,636","452,836","1,306",,,,,,,
B,22,58,"8,773","4,037",250.7,164.3,164.3,-,"4,888,697","4,888,697",-,"57,656",21,66,"7,600","2,944",234.3,167.6,167.6,-,"4,561,976","4,561,976",-,-,24,81,"25,979","7,390",233.9,168,168,-,"4,761,976","4,761,976",-,-
C,"62,150","278,773","54,031,840","16,063,831","87,549.90",169.5,164.8,4.7,"3,187,397","3,105,613","81,784","155,223","61,583","277,920","53,226,690","15,370,138","88,578.40",167.7,162.2,5.5,"3,267,829","3,179,975","87,854","254,625","58,970","266,500","54,625,962","15,095,113","89,226.30",173.3,168,5.4,"3,349,820","3,246,890","102,931","271,577"
D,119,"5,660","13,728,414","1,838,816","5,758.20",169.5,160,9.5,"4,792,178","4,549,006","243,172","200,105",139,"5,576","14,264,109","1,912,500","5,876.20",165.2,162.6,2.6,"4,296,192","4,228,861","67,331","421,039",183,"6,083","15,203,812","1,994,744","6,633.20",167.6,163.9,3.7,"4,680,106","4,572,818","107,289","456,229"
E,453,"8,649","1,117,834",,"1,353.80",175.4,170.2,5.2,"2,660,647","2,500,489","160,158","81,422",445,"8,963","1,260,096",,"1,264.30",180.1,173.1,7,"2,884,740","2,646,364","238,376","60,677",451,"9,139","1,354,294",,"1,328.30",191.8,179.6,12.2,"3,072,192","2,787,896","284,296","120,192"
F,"22,474","369,054","157,992,237","11,310,791","14,294",167.1,162.8,4.3,"4,120,071","4,012,937","107,135","187,729","22,228","385,208","170,600,930","11,807,884","13,541.70",166.6,160.7,5.8,"4,165,093","4,032,318","132,775","148,707","21,825","379,353","178,257,104","12,142,426","12,511.20",174.4,167,7.4,"4,367,081","4,205,267","161,814","109,242"
G,"230,451","891,402","456,781,898","57,623,999","40,769.20",167.6,163.4,4.2,"3,339,595","3,257,953","81,642","499,142","228,295","888,464","484,749,135","58,491,556","41,091",168.8,161.9,6.9,"3,475,965","3,364,277","111,688","488,122","223,955","896,326","506,828,402","59,678,918","43,984",172.7,166.2,6.5,"3,535,464","3,414,737","120,728","482,529"
