기간	산업분류별	상용근로일수(일)	상용총근로시간(시간)	상용소정실근로시간(시간)	상용초과근로시간(시간)	상용월급여액(원)	상용정액급여(원)	상용초과급여(원)	상용특별급여(원)
2016	전체	20.4	168	162.9	5.1	3,364,470	3,265,243	99,227	468,900
2016	광업	20.5	164.3	164.3	-	4,888,697	4,888,697	-	57,656
2016	제조업	20.7	169.5	164.8	4.7	3,187,397	3,105,613	81,784	155,223
2016	전기 가스 증기 및 수도사업	20	169.5	160	9.5	4,792,178	4,549,006	243,172	200,105
2016	하수 · 폐기물처리 원료재생 및 환경복원업	21.3	175.4	170.2	5.2	2,660,647	2,500,489	160,158	81,422
2016	건설업	20.4	167.1	162.8	4.3	4,120,071	4,012,937	107,135	187,729
2016	도매 및 소매업	20.6	167.6	163.4	4.2	3,339,595	3,257,953	81,642	499,142
2016	운수업	20.7	166.8	159.5	7.4	3,149,389	2,954,876	194,513	777,023
2016	숙박 및 음식점업	22.5	193.8	186.6	7.2	2,240,760	2,147,947	92,812	92,440
2016	출판 영상 방송통신 및 정보서비스업	19.9	162.4	157.5	4.9	3,819,395	3,708,753	110,642	496,085
2016	금융 및 보험업	19.5	159	155.1	3.9	4,601,771	4,493,241	108,529	1,860,776
2016	부동산업 및 임대업	19.9	179.4	175.5	3.9	2,712,792	2,627,758	85,034	146,096
2016	전문 과학 및 기술서비스업	20	162.1	159.4	2.6	4,294,096	4,246,661	47,434	372,600
2016	사업시설관리 및 사업지원서비스업	20.3	175.2	166.2	9	2,006,650	1,889,117	117,533	133,328
2016	교육서비스업	20.3	163	160.6	2.4	3,724,009	3,703,901	20,108	218,375
2016	보건업 및 사회복지서비스업	20.8	170.7	163.1	7.6	2,881,698	2,705,787	175,912	513,330
2016	예술 스포츠 및 여가관련 서비스업	20.2	165.3	158.4	6.9	2,773,343	2,652,168	121,176	126,123
2016	협회 및 단체 수리 및 기타 개인 서비스업	21.1	169.2	166.4	2.8	2,521,452	2,466,341	55,111	252,002
2017	전체	20.1	166.3	161.1	5.2	3,445,867	3,336,121	109,746	496,411
2017	광업	20.9	167.6	167.6	-	4,561,976	4,561,976	-	-
2017	제조업	20.3	167.7	162.2	5.5	3,267,829	3,179,975	87,854	254,625
2017	전기 가스 증기 및 수도사업	20.4	165.2	162.6	2.6	4,296,192	4,228,861	67,331	421,039
2017	하수 · 폐기물처리 원료재생 및 환경복원업	22.1	180.1	173.1	7	2,884,740	2,646,364	238,376	60,677
2017	건설업	20.2	166.6	160.7	5.8	4,165,093	4,032,318	132,775	148,707
2017	도매 및 소매업	20.4	168.8	161.9	6.9	3,475,965	3,364,277	111,688	488,122
2017	운수업	20.7	164.9	157.8	7.1	3,201,833	2,987,157	214,676	751,356
2017	숙박 및 음식점업	22	183.4	176.8	6.7	2,332,419	2,239,050	93,370	170,871
2017	출판 영상 방송통신 및 정보서비스업	19.9	163.4	158.1	5.3	3,914,765	3,803,079	111,686	439,175
2017	금융 및 보험업	19.4	158.7	154.6	4.2	4,712,758	4,596,519	116,239	1,860,315
2017	부동산업 및 임대업	19.3	179.2	176	3.2	2,811,183	2,743,666	67,517	211,108
2017	전문 과학 및 기술서비스업	19.9	161	158.5	2.5	4,397,723	4,350,106	47,617	584,906
2017	사업시설관리 및 사업지원서비스업	19.9	169.1	163.3	5.8	2,051,518	1,930,809	120,708	140,030
2017	교육서비스업	19.9	160.8	157.8	3	3,875,253	3,815,350	59,903	335,777
2017	보건업 및 사회복지서비스업	20.3	165.4	159.6	5.8	2,923,569	2,759,888	163,681	490,393
2017	예술 스포츠 및 여가관련 서비스업	20.1	167.5	160.7	6.8	2,892,707	2,767,274	125,433	163,002
2017	협회 및 단체 수리 및 기타 개인 서비스업	21.1	169.9	165.6	4.3	2,656,098	2,557,707	98,392	254,247
2018	전체	20.8	171.2	165.9	5.3	3,563,940	3,439,652	124,288	501,323
2018	광업	21	168	168	-	4,761,976	4,761,976	-	-
2018	제조업	21.1	173.3	168	5.4	3,349,820	3,246,890	102,931	271,577
2018	전기 가스 증기 및 수도사업	20.7	167.6	163.9	3.7	4,680,106	4,572,818	107,289	456,229
2018	하수 · 폐기물처리 원료재생 및 환경복원업	22.8	191.8	179.6	12.2	3,072,192	2,787,896	284,296	120,192
2018	건설업	21.1	174.4	167	7.4	4,367,081	4,205,267	161,814	109,242
2018	도매 및 소매업	21.1	172.7	166.2	6.5	3,535,464	3,414,737	120,728	482,529
2018	운수업	20.9	164.5	157.7	6.8	3,364,742	3,118,816	245,927	586,339
2018	숙박 및 음식점업	22.3	186.6	178.9	7.6	2,491,937	2,364,490	127,447	119,148
2018	출판 영상 방송통신 및 정보서비스업	20.6	169.3	163.7	5.6	3,958,048	3,833,622	124,426	455,225
2018	금융 및 보험업	20.2	165.1	160.5	4.6	4,847,861	4,722,273	125,588	2,263,926
2018	부동산업 및 임대업	20	182.2	179.3	2.8	2,957,039	2,871,497	85,541	137,625
2018	전문 과학 및 기술서비스업	20.6	167.4	164.3	3.1	4,558,603	4,497,465	61,138	539,758
2018	사업시설관리 및 사업지원서비스업	20.7	172.9	167.9	5	2,179,818	2,054,792	125,026	150,337
2018	교육서비스업	20.9	169.1	164.8	4.4	3,944,760	3,886,407	58,352	350,125
2018	보건업 및 사회복지서비스업	21	170	165	5	3,068,960	2,899,134	169,825	405,329
2018	예술 스포츠 및 여가관련 서비스업	20.8	174.7	164.6	10.1	2,991,128	2,801,097	190,031	145,776
2018	협회 및 단체 수리 및 기타 개인 서비스업	21.4	172.5	167.6	4.9	2,755,044	2,620,805	134,239	252,121
