기간,자치구,인구,외국인,65세이상고령자,외국인비율,65세이상고령자비율,금융기관,도로_연장,도로_면적,학원,관광호텔,지역내총생산
2016,종로구,161922,9185,25091,5.672,15.496,130,274502,2670788,278,37,30190706
2016,중구,134409,9160,20606,6.815,15.331,201,114232,1876189,127,80,52623501
2016,용산구,245102,14861,35915,6.063,14.653,84,280461,3136456,165,11,10457073
2016,성동구,307161,7902,39262,2.573,12.782,60,408256,3021534,279,7,10662221
2016,광진구,372104,14889,41441,4.001,11.137,59,323742,3390146,429,6,6097219
2016,동대문구,370312,15243,53460,4.116,14.436,65,327382,3138965,355,14,7185192
2016,중랑구,415677,4672,55914,1.124,13.451,34,330968,2843397,306,3,4120148
2016,성북구,461617,11262,64015,2.440,13.868,65,627392,4013784,453,5,5750131
2016,강북구,330704,3509,54053,1.061,16.345,33,226714,1971185,233,5,2952798
2016,도봉구,350272,2052,50510,0.586,14.420,34,257031,2340992,374,1,3116564
2016,노원구,571212,3631,70887,0.636,12.410,62,291817,3690773,794,1,5901669
2016,은평구,495937,4461,71457,0.900,14.408,46,351907,3332337,469,6,4298312
2016,서대문구,325871,11677,47653,3.583,14.623,55,310502,2722290,351,5,7837950
2016,마포구,390887,10995,48303,2.813,12.357,97,420406,4059428,603,17,18926362
2016,양천구,481845,4106,52063,0.852,10.805,68,403422,3598948,1039,1,6399102
2016,강서구,602104,6619,71062,1.099,11.802,72,382174,4506298,708,23,11420676
2016,구로구,449600,32049,55705,7.128,12.390,70,293674,3159199,411,5,12472027
2016,금천구,254654,19268,32279,7.566,12.676,61,185258,2101744,210,3,15751878
2016,영등포구,406779,36166,51844,8.891,12.745,135,388797,4422877,471,21,30667943
2016,동작구,413247,12250,55231,2.964,13.365,57,247849,2729942,466,3,5965426
2016,관악구,525607,18756,66952,3.568,12.738,48,322203,3028487,456,5,5623923
2016,서초구,451477,4285,50984,0.949,11.293,210,389579,5499595,1087,11,32366952
2016,강남구,572140,5025,61931,0.878,10.824,331,434029,5658248,2078,60,63866440
2016,송파구,664946,7115,71064,1.070,10.687,149,362700,4699775,1109,14,24812660
2016,강동구,448471,4303,53195,0.959,11.861,68,285574,3263785,723,4,7897558
2017,종로구,164257,9487,26182,5.776,15.940,126,274732,2684486,297,38,31416328
2017,중구,134593,8884,21384,6.601,15.888,191,114232,1876189,128,88,51213292
2017,용산구,244444,15283,36882,6.252,15.088,74,280679,3150277,175,16,11737945
2017,성동구,312711,7903,41273,2.527,13.198,56,408256,3021534,295,8,10735112
2017,광진구,372298,14595,43953,3.920,11.806,56,323818,3391252,442,9,6131450
2017,동대문구,366011,15364,55718,4.198,15.223,58,327382,3138965,360,15,7218027
2017,중랑구,412780,4554,59262,1.103,14.357,32,334013,2937952,288,3,4283062
2017,성북구,455407,11352,66251,2.493,14.548,60,627392,4014459,457,8,5917636
2017,강북구,328002,3523,56530,1.074,17.235,29,226714,1971185,227,5,3057496
2017,도봉구,346234,2068,53488,0.597,15.449,30,257431,2349292,360,3,3325320
2017,노원구,558075,3672,74243,0.658,13.303,59,295417,3828023,775,1,6239829
2017,은평구,491202,4408,74559,0.897,15.179,40,351997,3332877,521,8,4514825
2017,서대문구,325028,12228,49266,3.762,15.157,54,310502,2722920,342,7,8212568
