자치구,인구_2016,인구_2017,외국인비율_2016,외국인비율_2017,65세이상고령자비율_2016,65세이상고령자비율_2017,금융기관_2016,금융기관_2017,,,,금융기관,도로_연장,도로_면적,학원,관광호텔,지역내총생산
종로구,161922,164257,5.672,5.776,15.496,15.94,130,126,,,,,274502,2670788,278,37,30190706
중구,134409,134593,6.815,6.601,15.331,15.888,201,191,,,,,114232,1876189,127,80,52623501
용산구,245102,244444,6.063,6.252,14.653,15.088,84,74,,,,,280461,3136456,165,11,10457073
성동구,307161,312711,2.573,2.527,12.782,13.198,60,56,,,,,408256,3021534,279,7,10662221
광진구,372104,372298,4.001,3.92,11.137,11.806,59,56,,,,,323742,3390146,429,6,6097219
동대문구,370312,366011,4.116,4.198,14.436,15.223,65,58,,,,,327382,3138965,355,14,7185192
중랑구,415677,412780,1.124,1.103,13.451,14.357,34,32,,,,,330968,2843397,306,3,4120148
성북구,461617,455407,2.44,2.493,13.868,14.548,65,60,,,,,627392,4013784,453,5,5750131
강북구,330704,328002,1.061,1.074,16.345,17.235,33,29,,,,,226714,1971185,233,5,2952798
도봉구,350272,346234,0.586,0.597,14.42,15.449,34,30,,,,,257031,2340992,374,1,3116564
노원구,571212,558075,0.636,0.658,12.41,13.303,62,59,,,,,291817,3690773,794,1,5901669
은평구,495937,491202,0.9,0.897,14.408,15.179,46,40,,,,,351907,3332337,469,6,4298312
서대문구,325871,325028,3.583,3.762,14.623,15.157,55,54,,,,,310502,2722290,351,5,7837950
마포구,390887,385783,2.813,2.817,12.357,12.861,97,92,,,,,420406,4059428,603,17,18926362
양천구,481845,475018,0.852,0.813,10.805,11.628,68,64,,,,,403422,3598948,1039,1,6399102
강서구,602104,608255,1.099,1.079,11.802,12.5,72,67,,,,,382174,4506298,708,23,11420676
구로구,449600,441559,7.128,6.979,12.39,13.315,70,68,,,,,293674,3159199,411,5,12472027
금천구,254654,253491,7.566,7.234,12.676,13.48,61,55,,,,,185258,2101744,210,3,15751878
영등포구,406779,402024,8.891,8.326,12.745,13.427,135,135,,,,,388797,4422877,471,21,30667943
동작구,413247,408493,2.964,3.005,13.365,14.016,57,51,,,,,247849,2729942,466,3,5965426
관악구,525607,520929,3.568,3.385,12.738,13.446,48,47,,,,,322203,3028487,456,5,5623923
서초구,451477,445401,0.949,0.965,11.293,11.945,210,190,,,,,389579,5499595,1087,11,32366952
강남구,572140,561052,0.878,0.871,10.824,11.596,331,316,,,,,434029,5658248,2078,60,63866440
송파구,664946,671173,1.07,0.995,10.687,11.41,149,144,,,,,362700,4699775,1109,14,24812660
강동구,448471,440359,0.959,0.939,11.861,12.753,68,62,,,,,285574,3263785,723,4,7897558
,,,,,,,,,,,,,274732,2684486,297,38,31416328
,,,,,,,,,,,,,114232,1876189,128,88,51213292
,,,,,,,,,,,,,280679,3150277,175,16,11737945
,,,,,,,,,,,,,408256,3021534,295,8,10735112
,,,,,,,,,,,,,323818,3391252,442,9,6131450
,,,,,,,,,,,,,327382,3138965,360,15,7218027
,,,,,,,,,,,,,334013,2937952,288,3,4283062
,,,,,,,,,,,,,627392,4014459,457,8,5917636
,,,,,,,,,,,,,226714,1971185,227,5,3057496
,,,,,,,,,,,,,257431,2349292,360,3,3325320
,,,,,,,,,,,,,295417,3828023,775,1,6239829
,,,,,,,,,,,,,351997,3332877,521,8,4514825
,,,,,,,,,,,,,310502,2722920,342,7,8212568
,,,,,,,,,,,,,420428,4059660,616,20,18740095
,,,,,,,,,,,,,403922,3616228,1052,1,6658836
,,,,,,,,,,,,,385164,4596298,713,25,16772058
,,,,,,,,,,,,,294097,3162231,431,6,13254659
,,,,,,,,,,,,,188448,2159744,215,4,16385145
,,,,,,,,,,,,,389038,4434015,470,25,32055158
,,,,,,,,,,,,,248238,2734186,472,3,6254375
,,,,,,,,,,,,,322203,3028487,455,9,5755018
,,,,,,,,,,,,,394789,5729263,1090,11,33772132
,,,,,,,,,,,,,434649,5669904,2246,64,65387478
,,,,,,,,,,,,,367200,4868975,1093,17,26815980
,,,,,,,,,,,,,289924,3522054,669,5,8225774
