기간	자치구	합계	합계	5성급	5성급	4성급	4성급	3성급	3성급	2성급	2성급	1성급	1성급	등급미정	등급미정	가족호텔	가족호텔	호스텔	호스텔	소형호텔	소형호텔	객실이용률	객실이용률	객실이용률	객실이용률	객실이용률	객실이용률	객실이용률	객실이용률	객실이용률	수입실적	수입실적	수입실적
기간	자치구	호텔수	객실수	호텔수	객실수	호텔수	객실수	호텔수	객실수	호텔수	객실수	호텔수	객실수	호텔수	객실수	호텔수	객실수	호텔수	객실수	호텔수	객실수	5성급(특1급)	4성급(특2급)	3성급(1등급)	2성급(2등급)	1성급(3등급)	등급미정	가족호텔	호스텔	소형호텔	합계	객실	부대시설
2017	서울시	399	53,454	24	10,968	46	11,958	73	11,302	56	4,075	54	3,106	55	7,209	17	2,909	67	1,751	7	176	65.6	72.3	72.4	70.4	52.9	59.3	75.2	72.5	106	2,066,851	1,180,218	886,633
2017	종로구	38	3,434	2	487	1	338	7	1,351	6	416	3	142	1	83	1	213	17	404	-	-	-	74.1	72.5	58.9	35.4	-	62.9	-	-	56,752	51,983	4,769
2017	중구	88	16,128	6	3,585	16	5,223	30	4,549	7	834	1	35	4	400	5	1,084	18	393	1	25	62.7	73.9	76.9	85.6	81.6	74.9	83.4	-	-	805,673	472,627	333,046
2017	용산구	16	3,750	1	607	2	508	3	608	1	100	4	206	2	1,212	2	488	-	-	1	21	77.2	75.2	64.4	78.7	41.5	28.6	19.1	-	67.2	146,629	71,070	75,559
2017	성동구	8	403	-	-	-	-	-	-	4	254	2	100	-	-	-	-	2	49	-	-	-	-	-	76.7	-	-	-	-	-	894	894	-
2017	광진구	9	1,531	1	904	1	84	1	116	2	191	2	141	2	95	-	-	-	-	-	-	38.6	-	-	77	60.1	71.1	-	-	-	121,282	34,429	86,853
2017	동대문구	15	1,463	-	-	-	-	2	449	3	224	2	106	5	564	-	-	3	120	-	-	-	-	68.9	89.4	-	71.3	-	62.5	-	12,209	11,800	409
2017	중랑구	3	178	-	-	-	-	-	-	2	129	-	-	1	49	-	-	-	-	-	-	-	-	-	54.9	-	-	-	-	-	1,707	1,685	22
2017	성북구	8	568	-	-	2	318	-	-	1	50	3	105	2	95	-	-	-	-	-	-	-	-	-	-	94.3	40.9	-	-	-	1,095	1,074	21
2017	강북구	5	388	-	-	-	-	1	76	-	-	-	-	2	164	-	-	2	148	-	-	-	-	80.4	-	-	-	-	-	-	1,333	1,333	-
2017	도봉구	3	183	-	-	-	-	-	-	1	72	2	111	-	-	-	-	-	-	-	-	-	-	-	-	9.8	-	-	-	-	81	81	-
2017	노원구	1	84	-	-	-	-	-	-	-	-	-	-	1	84	-	-	-	-	-	-	-	-	-	-	-	49.8	-	-	-	815	815	-
2017	은평구	8	390	-	-	-	-	-	-	2	83	2	146	2	95	-	-	1	38	1	28	-	-	-	-	-	25.2	-	-	-	65	65	-
2017	서대문구	7	976	1	503	1	319	-	-	-	-	1	41	-	-	1	57	3	56	-	-	62	69.1	-	-	-	-	93.2	-	-	45,606	22,101	23,505
2017	마포구	20	2,711	1	372	5	1,242	1	94	2	132	-	-	4	540	2	239	5	92	-	-	74.9	73.2	76.1	75.9	-	81	-	91.3	-	47,820	35,567	12,253
2017	양천구	1	50	-	-	-	-	-	-	-	-	1	50	-	-	-	-	-	-	-	-	-	-	-	-	62.5	-	-	-	-	1,139	1,139	-
2017	강서구	25	2,317	1	239	3	555	3	213	1	40	8	456	6	655	1	31	2	128	-	-	57.3	73.8	43.6	38.1	39.5	45.5	-	-	-	50,981	28,568	22,413
2017	구로구	6	1,305	1	269	3	885	-	-	1	47	-	-	1	104	-	-	-	-	-	-	-	61.7	-	73.7	-	20.2	-	-	-	19,161	16,654	2,507
2017	금천구	4	450	-	-	1	218	-	-	-	-	-	-	3	232	-	-	-	-	-	-	-	54.5	-	-	-	59.7	-	-	-	12,747	7,596	5,151
2017	영등포구	25	2,786	2	753	2	518	2	217	3	192	6	515	1	133	2	252	5	152	2	54	73.6	80	-	76.7	12.7	52.7	-	82.1	-	98,465	51,922	46,543
2017	동작구	3	416	-	-	1	43	2	373	-	-	-	-	-	-	-	-	-	-	-	-	-	50.9	76.4	-	-	-	-	-	-	10,621	8,487	2,133
2017	관악구	9	536	-	-	-	-	1	104	1	66	4	208	1	108	-	-	2	50	-	-	-	-	31.6	46.8	57.3	-	-	-	-	3,792	3,571	221
2017	서초구	11	2,123	2	838	1	109	2	492	3	203	1	71	1	250	1	160	-	-	-	-	77.4	-	67.6	48	70.1	79.1	75	-	-	107,671	64,032	43,639
2017	강남구	64	8,948	4	1,694	7	1,598	14	1,961	10	639	7	355	13	2,173	2	385	6	115	1	28	74.9	73.5	67.6	74.1	76.5	57.3	78.8	-	193.1	423,677	245,628	178,050
2017	송파구	17	2,034	2	717	-	-	4	699	6	403	1	53	2	136	-	-	1	6	1	20	61.4	-	73.8	68.8	79.7	-	-	-	-	93,705	44,175	49,531
2017	강동구	5	302	-	-	-	-	-	-	-	-	4	265	1	37	-	-	-	-	-	-	-	-	-	-	52.3	-	-	-	-	2,934	2,924	9
