기간	자치구	합계	합계	합계	합계	고속도로	고속도로	일반국도	일반국도	일반국도	일반국도	특별시도	특별시도	특별시도	특별시도
기간	자치구	계	계	포장	포장	포장	포장	계	계	포장	포장	계	계	포장	포장
기간	자치구	연장	면적	연장	면적	연장	면적	연장	면적	연장	면적	연장	면적	연장	면적
2016	서울시	8,240,571	84,877,162	8,240,571	84,877,162	26,550	872,456	168,880	6,219,938	168,880	6,219,938	8,045,141	77,784,768	8,045,141	77,784,768
2016	종로구	274,502	2,670,788	274,502	2,670,788	-	-	7,450	319,500	7,450	319,500	267,052	2,351,288	267,052	2,351,288
2016	중구	114,232	1,876,189	114,232	1,876,189	-	-	8,060	313,400	8,060	313,400	106,172	1,562,789	106,172	1,562,789
2016	용산구	280,461	3,136,456	280,461	3,136,456	-	-	4,700	258,994	4,700	258,994	275,761	2,877,462	275,761	2,877,462
2016	성동구	408,256	3,021,534	408,256	3,021,534	-	-	5,980	221,750	5,980	221,750	402,276	2,799,784	402,276	2,799,784
2016	광진구	323,742	3,390,146	323,742	3,390,146	-	-	10,320	298,002	10,320	298,002	313,422	3,092,144	313,422	3,092,144
2016	동대문구	327,382	3,138,965	327,382	3,138,965	-	-	11,100	350,430	11,100	350,430	316,282	2,788,535	316,282	2,788,535
2016	중랑구	330,968	2,843,397	330,968	2,843,397	-	-	11,200	353,570	11,200	353,570	319,768	2,489,827	319,768	2,489,827
2016	성북구	627,392	4,013,784	627,392	4,013,784	-	-	2,350	70,500	2,350	70,500	625,042	3,943,284	625,042	3,943,284
2016	강북구	226,714	1,971,185	226,714	1,971,185	-	-	3,300	86,000	3,300	86,000	223,414	1,885,185	223,414	1,885,185
2016	도봉구	257,031	2,340,992	257,031	2,340,992	-	-	5,900	236,000	5,900	236,000	251,131	2,104,992	251,131	2,104,992
2016	노원구	291,817	3,690,773	291,817	3,690,773	3,660	137,250	-	-	-	-	288,157	3,553,523	288,157	3,553,523
2016	은평구	351,907	3,332,337	351,907	3,332,337	-	-	6,300	220,500	6,300	220,500	345,607	3,111,837	345,607	3,111,837
2016	서대문구	310,502	2,722,290	310,502	2,722,290	-	-	10,450	350,500	10,450	350,500	300,052	2,371,790	300,052	2,371,790
2016	마포구	420,406	4,059,428	420,406	4,059,428	-	-	11,750	385,400	11,750	385,400	408,656	3,674,028	408,656	3,674,028
2016	양천구	403,422	3,598,948	403,422	3,598,948	500	17,280	-	-	-	-	402,922	3,581,668	402,922	3,581,668
2016	강서구	382,174	4,506,298	382,174	4,506,298	3,000	90,000	15,050	465,292	15,050	465,292	364,124	3,951,006	364,124	3,951,006
2016	구로구	293,674	3,159,199	293,674	3,159,199	-	-	6,290	265,928	6,290	265,928	287,384	2,893,271	287,384	2,893,271
