기간	자치구	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	독서실	독서실	독서실	독서실
기간	자치구	학원수	학원수	학원수	학원수	학원수	학원수	학원수	학원수	학원수	학원수	학원수	학원수	학원수	학원수	정원	강사수	강사수	강의실수	독서실수	독서실수	독서실수	열람실수
기간	자치구	계	학교교과교습학원	학교교과교습학원	학교교과교습학원	학교교과교습학원	학교교과교습학원	학교교과교습학원	학교교과교습학원	평생직업교육학원	평생직업교육학원	평생직업교육학원	평생직업교육학원	평생직업교육학원	평생직업교육학원	정원	강사수	강사수	강의실수	계	학교교과교습학원	평생직업교육학원	열람실수
기간	자치구	계	소계	입시검정 및 보습	국제화	예능	특수교육	종합	기타	소계	직업기술	국제화	인문사회	기예	종합	정원	계	여자	강의실수	계	학교교과교습학원	평생직업교육학원	열람실수
2016	합계	13,974	11,786	7,710	862	2,467	1	261	485	2,188	1,004	236	263	551	134	2,448,712	79,466	44,864	117,210	1,080	876	204	7,532
2016	종로구	278	100	73	6	12	-	2	7	178	67	37	19	36	19	44,441	3,427	1,970	1,644	15	10	5	50
2016	중구	127	65	47	5	9	-	2	2	62	38	9	3	10	2	16,191	1,243	626	594	2	2	-	16
2016	용산구	165	131	69	27	31	-	3	1	34	22	2	2	5	3	15,933	820	591	978	6	5	1	47
2016	성동구	279	245	149	15	61	-	11	9	34	18	-	2	12	2	45,318	1,384	950	1,652	17	17	-	103
2016	광진구	429	375	244	30	77	-	7	17	54	21	5	2	23	3	53,674	1,924	1,232	2,637	31	29	2	184
2016	동대문구	355	301	193	18	79	-	4	7	54	29	3	4	13	5	51,011	1,710	1,095	1,462	24	23	1	249
2016	중랑구	306	287	200	11	60	-	8	8	19	13	-	-	6	-	29,256	1,220	855	1,354	18	18	-	216
2016	성북구	453	421	279	23	106	-	4	9	32	15	-	1	14	2	81,624	2,010	1,260	1,922	30	30	-	271
2016	강북구	233	209	154	3	46	-	4	2	24	10	-	2	11	1	39,961	815	559	909	17	17	-	171
2016	도봉구	374	362	254	19	69	-	12	8	12	8	-	-	2	2	34,568	1,345	915	2,074	34	34	-	36
2016	노원구	794	749	519	45	150	-	15	20	45	23	2	9	6	5	91,351	4,315	2,307	4,864	72	72	-	76
2016	은평구	469	433	314	22	85	-	4	8	36	20	-	2	12	2	61,254	1,756	1,154	2,900	45	37	8	437
2016	서대문구	351	285	208	18	46	-	5	8	66	28	11	13	8	6	89,606	2,229	1,347	2,067	29	22	7	125
2016	마포구	603	442	223	35	163	-	4	17	161	62	18	7	66	8	470,227	3,455	2,157	3,415	22	18	4	148
2016	양천구	1,039	1,005	735	64	143	-	31	32	34	18	2	1	12	1	111,353	5,072	2,839	6,691	77	77	-	775
2016	강서구	708	670	434	37	168	-	10	21	38	26	1	1	5	5	88,937	2,394	1,672	4,078	48	48	-	474
2016	구로구	411	355	227	20	85	-	11	12	56	36	5	2	7	6	154,200	1,755	1,189	14,139	32	29	3	267
2016	금천구	210	172	117	7	43	-	2	3	38	28	2	1	6	1	48,941	874	534	8,882	11	10	1	102
2016	영등포구	471	316	201	28	72	1	5	9	155	94	10	13	25	13	88,989	2,320	1,482	19,528	24	19	5	230
2016	동작구	466	363	218	25	90	-	8	22	103	17	1	63	13	9	67,246	4,427	1,886	2,304	90	16	74	649
2016	관악구	456	369	227	17	104	-	10	11	87	33	2	28	23	1	40,124	2,141	1,234	2,355	103	33	70	588
2016	서초구	1,087	825	534	79	137	-	26	49	262	119	33	35	58	17	265,827	8,008	4,386	7,628	63	57	6	408
2016	강남구	2,078	1,589	977	206	239	-	53	114	489	201	87	44	137	20	339,903	17,293	7,937	12,623	116	102	14	689
2016	송파구	1,109	1,034	676	72	229	-	9	48	75	39	3	7	25	1	77,244	4,908	3,094	6,592	92	91	1	670
2016	강동구	723	683	438	30	163	-	11	41	40	19	3	2	16	-	41,533	2,621	1,593	3,918	62	60	2	551
2017	합계	14,189	11,954	7,853	836	2,460	2	277	526	2,235	1,012	239	253	582	149	2,629,599	87,020	48,199	70,855	1,133	938	195	8,954
2017	종로구	297	109	77	7	14	1	1	9	188	75	37	21	36	19	128,540	3,342	1,894	1,110	15	8	7	49
2017	중구	128	64	46	6	7	-	2	3	64	37	8	3	13	3	30,252	1,285	641	494	4	4	-	24
2017	용산구	175	143	76	30	30	-	3	4	32	20	3	2	4	3	31,585	892	665	723	5	4	1	78
2017	성동구	295	255	149	15	67	-	11	13	40	21	-	2	16	1	46,871	1,350	909	1,042	19	19	-	122
2017	광진구	442	383	251	27	81	-	6	18	59	25	6	3	22	3	68,802	1,918	1,202	1,775	34	32	2	231
2017	동대문구	360	304	201	17	77	-	3	6	56	28	3	5	15	5	46,559	1,779	1,129	1,475	25	24	1	221
2017	중랑구	288	266	187	10	52	-	9	8	22	14	-	-	8	-	28,206	1,248	839	1,304	18	18	-	222
2017	성북구	457	424	275	22	114	-	5	8	33	15	-	-	17	1	93,371	2,151	1,373	1,889	34	34	-	293
2017	강북구	227	203	153	3	40	-	4	3	24	10	-	1	12	1	44,144	867	604	900	15	15	-	159
2017	도봉구	360	345	244	16	67	-	11	7	15	12	-	-	1	2	36,591	1,299	892	1,565	32	32	-	433
2017	노원구	775	728	503	41	145	-	16	23	47	23	2	9	6	7	109,352	4,400	2,369	3,745	73	73	-	668
