기간	자치구	면적	면적	동	동	통	반
기간	자치구	면적	구성비(%)	행정	법정	통	반
2016	서울시	605.2	100	424	467	12,604	94,618
2016	종로구	23.91	3.95	17	87	278	1,527
2016	중구	9.96	1.65	15	74	255	1,612
2016	용산구	21.87	3.61	16	36	351	2,552
2016	성동구	16.86	2.79	17	17	467	3,695
2016	광진구	17.06	2.82	15	7	361	2,995
2016	동대문구	14.22	2.35	14	10	359	2,624
2016	중랑구	18.5	3.06	16	6	541	4,111
2016	성북구	24.58	4.06	20	39	466	3,763
2016	강북구	23.6	3.9	13	4	388	3,378
2016	도봉구	20.67	3.42	14	4	392	2,952
2016	노원구	35.44	5.86	19	5	709	5,866
2016	은평구	29.7	4.91	16	11	558	4,166
2016	서대문구	17.61	2.91	14	20	520	3,768
2016	마포구	23.84	3.94	16	26	415	3,284
2016	양천구	17.41	2.88	18	3	559	4,561
2016	강서구	41.44	6.85	20	13	631	4,923
2016	구로구	20.12	3.32	15	10	598	4,693
2016	금천구	13.02	2.15	10	3	377	2,897
2016	영등포구	24.53	4.05	18	34	574	4,817
2016	동작구	16.35	2.7	15	9	527	3,575
2016	관악구	29.57	4.89	21	3	637	5,187
2016	서초구	46.98	7.76	18	10	543	3,727
2016	강남구	39.5	6.53	22	14	833	5,534
2016	송파구	33.88	5.6	27	13	731	4,269
2016	강동구	24.59	4.06	18	9	534	4,142
2017	서울시	605.24	100	424	467	12,622	94,651
2017	종로구	23.91	3.95	17	87	278	1,527
2017	중구	9.96	1.65	15	74	255	1,612
2017	용산구	21.87	3.61	16	36	351	2,552
2017	성동구	16.86	2.79	17	17	467	3,695
2017	광진구	17.06	2.82	15	7	361	2,995
2017	동대문구	14.22	2.35	14	10	359	2,623
2017	중랑구	18.5	3.06	16	6	545	4,165
2017	성북구	24.57	4.06	20	39	466	3,763
2017	강북구	23.6	3.9	13	4	388	3,383
2017	도봉구	20.67	3.41	14	4	392	2,952
2017	노원구	35.44	5.86	19	5	709	5,866
2017	은평구	29.71	4.91	16	11	558	4,166
2017	서대문구	17.63	2.91	14	20	520	3,768
2017	마포구	23.85	3.94	16	26	415	3,284
2017	양천구	17.41	2.88	18	3	559	4,556
2017	강서구	41.44	6.85	20	13	631	4,923
2017	구로구	20.12	3.32	15	10	598	4,697
2017	금천구	13.02	2.15	10	3	377	2,897
2017	영등포구	24.55	4.06	18	34	574	4,817
2017	동작구	16.35	2.7	15	9	527	3,575
2017	관악구	29.57	4.89	21	3	637	5,187
2017	서초구	46.99	7.76	18	10	543	3,727
2017	강남구	39.5	6.53	22	14	836	5,544
2017	송파구	33.87	5.6	27	13	742	4,235
2017	강동구	24.59	4.06	18	9	534	4,142
2018	서울시	605.24	100	424	467	12,707	95,065
2018	종로구	23.91	3.95	17	87	278	1,527
2018	중구	9.96	1.65	15	74	252	1,576
2018	용산구	21.87	3.61	16	36	351	2,550
2018	성동구	16.86	2.79	17	17	465	3,618
2018	광진구	17.06	2.82	15	7	363	2,999
2018	동대문구	14.22	2.35	14	10	358	2,620
2018	중랑구	18.5	3.06	16	6	550	4,172
2018	성북구	24.57	4.06	20	39	466	3,735
2018	강북구	23.6	3.9	13	4	388	3,380
2018	도봉구	20.67	3.41	14	4	394	2,967
2018	노원구	35.44	5.86	19	5	710	5,869
2018	은평구	29.71	4.91	16	11	561	4,193
2018	서대문구	17.62	2.91	14	20	514	3,704
2018	마포구	23.85	3.94	16	26	418	3,313
2018	양천구	17.41	2.88	18	3	558	4,544
2018	강서구	41.44	6.85	20	13	639	5,009
2018	구로구	20.12	3.32	15	10	614	4,696
2018	금천구	13.02	2.15	10	3	381	2,874
2018	영등포구	24.55	4.06	18	34	577	4,869
2018	동작구	16.35	2.7	15	9	528	3,568
2018	관악구	29.57	4.89	21	3	637	5,187
2018	서초구	46.98	7.76	18	10	549	3,737
2018	강남구	39.5	6.53	22	14	836	5,551
2018	송파구	33.87	5.6	27	13	748	4,229
2018	강동구	24.59	4.06	18	9	572	4,578
