산업별,제조업,식료품 제조업,"도축, 육류 가공 및 저장 처리업",수산물 가공 및 저장 처리업,"과실, 채소 가공 및 저장 처리업",동물성 및 식물성 유지 제조업,낙농제품 및 식용빙과류 제조업,"곡물가공품, 전분 및 전분제품 제조업",기타 식품 제조업,동물용 사료 및 조제식품 제조업,음료 제조업,알콜음료 제조업,비알콜음료 및 얼음 제조업,담배 제조업,섬유제품 제조업,방적 및 가공사 제조업,직물직조 및 직물제품 제조업,편조원단 및 편조제품 제조업,"섬유제품 염색, 정리 및 마무리 가공업",기타 섬유제품 제조업,"가죽, 가방 및 신발제조","가죽, 가방 및 유사제품 제조업",신발 및 신발부분품 제조업,목재 및 나무제품,제재 및 목재 가공업,나무제품 제조업,"펄프, 종이 및 종이제품","펄프, 종이 및 판지 제조업","골판지, 종이 상자 및 종이 용기 제조업",기타 종이 및 판지 제품 제조업,"코크스, 연탄 및 석유정제",코크스 및 연탄 제조업,석유 정제품 제조업,화학물질 및 화학제품,기초화학물질 제조업,비료 및 질소화합물 제조업,합성고무 및 플라스틱 물질 제조업,기타 화학제품 제조업,화학섬유 제조업,고무 및 플라스틱제품,고무제품 제조업,플라스틱제품 제조업,비금속 광물제품,유리 및 유리제품 제조업,도자기 및 기타 요업제품 제조업,"시멘트, 석회, 플라스터 및 그 제품 제조업",기타 비금속 광물제품 제조업,1차 금속 제조업,1차 철강 제조업,1차 비철금속 제조업,금속 주조업,금속가공제품 제조업,"구조용 금속제품, 탱크 및 증기발생기 제조업",기타 금속가공제품 제조업,"전자부품, 컴퓨터, 영상음향 및 통신장비",반도체 제조업,전자부품 제조업,컴퓨터 및 주변장치 제조업,통신 및 방송 장비 제조업,영상 및 음향기기 제조업,"의료,정밀, 광학기기 및 시계",의료용 기기 제조업,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","안경, 사진장비 및 기타 광학기기 제조업",전기장비 제조업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",일차전지 및 축전지 제조업,절연선 및 케이블 제조업,전구 및 조명장치 제조업,가정용 기기 제조업,기타 전기장비 제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,특수 목적용 기계 제조업,자동차 및 트레일러 제조업,자동차용 엔진 및 자동차 제조업,자동차 차체 및 트레일러 제조업,자동차 부품 제조업,기타 운송장비 제조업,선박 및 보트 건조업,철도장비 제조업,"항공기,우주선 및 부품 제조업",가구제조업,가구 제조업,기타 제품 제조업,귀금속 및 장신용품 제조업,운동 및 경기용구 제조업,"인형,장난감 및 오락용품 제조업",그외 기타 제품 제조업
2018. 01,97.6,106.1,113.6,115.7,91.5,95.7,89.7,110.8,109.7,103.2,101.7,96.8,107.3,108.3,90.6,87.7,86.9,102.5,88.8,97.9,96.5,116.2,77.2,95,97.1,94.3,104.9,99,114.3,102.8,115.2,101,115.6,106.1,109.7,118,107.2,100,110.6,98,95.8,98.6,87.6,108.9,108.8,78.6,52.9,104.7,106,104.1,94.9,102.7,102.9,102.2,98.1,103.7,98.6,82.6,97.7,116.8,93,99.2,95.4,77.8,99.8,94.4,106.7,104.1,105.6,98.4,131.1,100.8,97.7,103.5,83.2,85.6,79.7,81.1,74.1,73.1,37.9,84.3,120.6,120.6,96,91,117.3,102.9,88.8
2018. 02,86.2,89.7,94.3,102.2,84.8,88,80.5,90.8,89.7,91.6,86.4,86.6,85.8,92.7,78.1,74.7,75.1,91.1,75.5,85.3,84.5,106.3,63.2,84.7,79.8,85.9,90,90.8,94.5,83.7,104.8,86.1,105.4,94.5,97.7,108.2,97,87.2,100.4,83.7,78.8,85,79.4,101.1,77.2,74.1,49.3,90.4,91.6,90.1,80.7,82.3,79.5,83.3,90.9,102.1,84.6,75.6,79.7,105.3,79,88,76.9,70,90.4,86.7,92.9,89.2,94.4,90.1,140.2,91.9,89.5,93.9,71.7,72.8,69.8,70.7,61.3,58.5,46.2,76.1,116.2,116.2,79.4,81.6,92.2,88.4,73.8
2018. 03,101.4,100.5,103.1,108.9,104.3,96.3,100.5,103.4,98.4,98.8,102.1,98.1,106.4,108.7,98.8,92.6,95.8,109.9,99.7,103.4,95.7,116.3,75.6,100.8,104.8,99.5,104.4,106.9,109.4,94.7,98.9,65.9,99.9,105.4,105,138.9,107.4,103,112.2,100.5,95.5,101.9,112.8,115.7,105,116.6,95.7,100.5,101.1,99.5,99.7,100.8,92.1,104.7,104.5,118,95.8,91.3,94.1,111.5,101,111.3,102.2,80.9,104.9,102.3,107.8,111.1,106.4,99,151.8,109.7,110.8,108.7,93.9,99.9,84,88.8,69.2,64.5,60.2,92.7,135,135,96.9,102,87.2,117.1,97.6
2018. 04,100,100,104.3,106.1,104.3,88.5,105,97.9,97.9,97,100.6,96.8,104.6,102.1,96.4,91,93.9,100.6,98.7,99,101.8,132.3,72,97.7,100.7,96.7,98.9,98.8,105.9,90.6,103.4,50.2,105,102.7,104.2,132,102.3,99.8,108.6,98.5,96.2,99.2,114.4,109.1,107.5,120.9,104.9,100.3,100.4,101.1,97.3,103.1,106.8,101,101.1,116.4,94.2,84.6,78.6,92.5,101.7,114.1,101.7,80.6,100.2,97.1,103.3,104.6,105.7,93.3,156.7,104.8,106.4,103.4,94.6,99.2,96.2,90.4,73,68.3,88.5,81.9,127.6,127.6,107.5,91.5,122.3,127,102.9
2018. 05,102,105.1,108.3,113.9,100.5,94.2,110.8,103.2,103.2,102.3,107.8,106.3,109.2,105.1,101.1,91.6,102.6,108.8,100.6,101.3,98.1,129.3,67.6,99.1,104.1,97.5,102.1,102,109.9,92.9,112.1,43.6,114.2,105.6,108,137.2,105.9,101.4,106.2,99.8,98.7,100.1,119.2,111.8,112,124.6,119.1,104.1,104.1,105.3,101.5,104.4,111.3,100.7,101.1,112.8,93.8,80.9,99.2,95.5,102.3,110.9,104,84.4,102.6,98.8,107.7,106.8,108.1,95.8,163.1,109.8,110.3,109.4,93.9,97.5,97.6,90.6,74.4,68.1,98.9,90.1,119.3,119.3,109.8,87.4,106.1,121.1,114
2018. 06,101.2,100.1,106.2,100.1,99.8,90.6,110.3,101.5,96.7,99.5,109.2,105.8,112.7,100,96.6,85.7,101.3,110.1,92.2,95.5,89.3,117.2,61.9,98,104.4,96,98.7,100.6,103.8,89.9,108.2,39.6,110.2,101.6,104.5,122.1,103.1,96.1,101.6,97.8,96.5,98.1,123.4,118.9,111.4,126.8,127.9,100.4,101.1,99.8,97.4,101.3,105.2,99,105.5,123.7,93.7,88.5,89.3,77.1,105.8,115.6,109.5,79.5,102.4,100.2,105.4,106.2,108.5,93.2,161.1,107.5,108.5,106.5,90.6,93,101.1,88.1,76.2,68,114.8,98.3,119.2,119.2,106.8,92.7,130.6,106.1,101.3
2018. 07,100.4,100.2,104.2,100.7,111.8,97.3,115.3,104,94.2,96.9,113.7,108.6,119.5,107.1,92.9,86.2,95,109.4,87.9,94.6,97.5,110.1,85.1,102.1,109.1,99.9,100.4,101.6,108.4,88.7,112.6,38.5,114.8,103.1,106.9,110.2,104.3,97.3,102.6,96.7,95,97.2,112.1,114,110.7,112.3,105.2,101.2,102.6,100.1,91.4,105.2,118.4,98.4,107.4,123.1,100.4,83.5,92.8,77.9,107.7,118.4,110.1,83.3,101.1,93.9,112.5,99.6,107.8,101.9,153.8,100.9,102.7,99.4,84.4,83.3,87.3,85,75.9,70.1,94,91.1,116.1,116.1,94.9,78.6,99.5,89.4,97.2
2018. 08,97.6,105,116.4,102.9,127.2,105.1,121,106.5,97.9,98.3,113.5,106.3,121.6,95.2,88.3,81.7,90.3,93.9,83.1,92.3,96.5,123.6,70,97.3,100.6,96.1,98.8,98,106.9,90,107.7,42.3,109.6,101.8,105.2,83.1,105.2,95.6,100.2,93.9,88.1,95.5,102.6,113.5,105.8,99,85.8,98.1,99.3,97.6,88.4,97.5,100.8,95.5,105.1,114.7,104.6,85.8,102.9,72.9,107.1,118.8,108.1,84.8,101.6,95.2,105.9,95.1,103.6,101.4,249.6,92.9,93.6,92.3,84.3,83.7,83.6,84.8,68.7,63.3,80.3,86,114.8,114.8,89.5,84.8,100.8,95.3,86
2018. 09,94,98.4,108,106.4,121.4,95,94,99.8,94.7,98.2,98.6,90.1,108.4,86.4,82.9,80.3,81.5,90.9,80.3,87.6,87.6,111.3,64.4,92.9,92.2,92.9,94.7,96.6,99.3,86.5,104.5,75.4,105.4,97.6,103.3,88.2,99.6,88.3,102.9,90.2,83.6,92.1,106.6,116.9,100.5,101.1,105.2,93.2,93.8,94.6,84.7,91,89.8,91.2,103.5,116.6,97.1,69.6,100.4,81.9,103.5,110.2,109.4,77.6,95.7,92,95.7,90.5,101.3,99.8,133.3,88.8,92.2,85.9,81.3,81.4,77.1,81.1,71.2,65,76.9,97.2,104.4,104.4,81.5,78.6,88.2,107.5,76.6
2018. 10,104.6,107.7,107.2,117.6,129.8,97.9,92.6,110.6,107.7,110.6,108.7,106.4,111.1,101.2,100.2,95,99.3,99.1,98.7,105,80.4,94.1,66.9,103.5,116.5,99.6,105.5,103.2,113.1,100,114.4,149.1,113.4,98.1,100.2,62.2,93.6,100.9,107.2,103.8,98.1,105.5,123.1,122.5,118.3,122.2,128.6,103,102.2,105.5,105.1,108.9,114.3,105.8,109.1,121,102.3,78.4,116.9,83.1,118.2,124.6,127.2,84.2,108.8,100.3,115.2,104.3,118.2,120.9,115.4,99,101.2,97.1,100.3,105.4,83.6,96.2,81.3,76.5,89.4,92.8,126.2,126.2,95.1,85,104.1,135.1,88.9
