"산업별",2018. 01,2018. 01,2018. 01,2018. 02,2018. 02,2018. 02,2018. 03,2018. 03,2018. 03,2018. 04,2018. 04,2018. 04,2018. 05,2018. 05,2018. 05,2018. 06,2018. 06,2018. 06,2018. 07,2018. 07,2018. 07,2018. 08,2018. 08,2018. 08,2018. 09,2018. 09,2018. 09,2018. 10,2018. 10,2018. 10,2018. 11,2018. 11,2018. 11,2018. 12,2018. 12,2018. 12,2019. 01,2019. 01,2019. 01,2019. 02,2019. 02,2019. 02,2019. 03,2019. 03,2019. 03,2019. 04,2019. 04,2019. 04,2019. 05,2019. 05,2019. 05,2019. 06,2019. 06,2019. 06,2019. 07,2019. 07,2019. 07,2019. 08,2019. 08,2019. 08,2019. 09,2019. 09,2019. 09,2019. 10,2019. 10,2019. 10,2019. 11,2019. 11,2019. 11,2019. 12,2019. 12,2019. 12,2020. 01,2020. 01,2020. 01,2020. 02,2020. 02,2020. 02,2020. 03,2020. 03,2020. 03,2020. 04,2020. 04,2020. 04,2020. 05,2020. 05,2020. 05,2020. 06 p),2020. 06 p),2020. 06 p),2020. 07 p),2020. 07 p),2020. 07 p)
"산업별",생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정),생산능력지수,가동률지수(원지수),가동률지수(계절조정)
"제조업",102.3,97.6,98.3,102.3,86.2,100.2,102.0,101.4,97.6,102.2,100.0,98.8,102.2,102.0,100.7,102.7,101.2,99.4,103.2,100.4,98.8,103.3,97.6,101.3,103.7,94.0,98.5,103.9,104.6,100.3,104.1,101.8,98.7,103.9,99.0,97.4,103.0,96.8,98.1,102.6,82.4,95.3,102.7,98.3,96.3,102.1,100.1,97.3,102.2,101.8,97.2,102.3,98.9,97.0,102.6,103.6,100.1,102.3,96.2,99.4,102.6,96.9,101.2,103.1,103.7,99.6,104.6,100.8,98.1,104.5,102.7,100.9,103.8,91.6,101.1,103.8,90.2,95.0,104.0,103.4,99.9,103.9,91.0,91.5,103.7,87.4,85.0,103.7,94.8,91.6,103.7,97.3,94.0
"식료품 제조업",103.1,106.1,100.2,103.2,89.7,104.0,103.2,100.5,98.3,103.3,100.0,100.9,103.5,105.1,105.4,103.3,100.1,101.5,102.5,100.2,100.7,102.7,105.0,101.8,103.2,98.4,102.0,103.4,107.7,102.4,104.6,103.2,102.3,104.5,100.5,100.7,105.7,109.8,103.4,105.6,84.9,98.5,105.9,100.3,100.0,105.4,103.7,102.7,106.1,103.9,100.4,106.3,97.2,98.9,106.3,104.9,103.9,106.9,100.7,98.2,106.7,97.5,100.7,106.6,107.0,102.0,105.9,104.5,103.2,105.6,105.5,105.4,105.5,103.2,104.3,106.1,96.3,102.0,107.0,105.9,103.5,106.5,103.0,106.0,106.3,99.1,97.6,106.3,102.7,102.6,106.3,105.8,105.1
"도축, 육류 가공 및 저장 처리업",103.7,113.6,100.7,102.3,94.3,115.6,101.1,103.1,103.8,101.5,104.3,109.0,103.0,108.3,110.4,100.9,106.2,108.9,97.5,104.2,101.4,97.7,116.4,102.1,100.9,108.0,111.6,104.1,107.2,104.0,115.7,99.0,104.8,117.5,100.0,102.8,118.1,120.8,107.3,117.4,83.9,102.4,115.4,95.2,98.3,111.6,102.5,104.5,113.5,106.3,102.7,113.1,99.1,101.5,115.0,105.3,100.2,114.6,113.8,99.8,117.3,95.5,99.7,117.4,107.9,103.8,117.7,98.1,103.8,116.2,105.4,108.5,114.1,110.3,106.9,116.8,97.6,106.3,116.6,104.4,105.3,109.0,105.4,112.7,106.3,96.8,95.7,105.9,107.0,106.7,105.3,118.5,113.0
"수산물 가공 및 저장 처리업",97.9,115.7,107.5,97.0,102.2,109.6,95.5,108.9,105.5,98.8,106.1,103.0,99.0,113.9,119.4,99.3,100.1,104.8,98.7,100.7,105.6,98.8,102.9,105.2,98.3,106.4,110.0,98.7,117.6,110.3,99.5,111.5,109.0,99.5,110.5,105.9,100.5,121.5,112.9,100.4,88.0,94.1,101.4,102.0,98.7,101.4,109.2,106.7,101.8,106.4,111.6,101.6,98.2,103.1,101.7,102.2,107.5,101.7,107.7,110.2,101.8,102.2,99.1,102.0,113.4,112.9,101.7,109.7,107.2,101.8,111.9,107.3,104.1,108.2,101.0,104.7,95.0,101.0,105.0,103.4,99.5,105.1,105.4,103.4,105.1,94.8,99.0,104.8,106.3,111.4,103.9,103.9,110.0
"과실, 채소 가공 및 저장 처리업",110.8,91.5,104.2,115.3,84.8,104.2,114.4,104.3,105.5,113.0,104.3,108.1,113.7,100.5,107.0,115.0,99.8,102.4,111.0,111.8,110.1,112.0,127.2,118.1,112.8,121.4,114.6,110.3,129.8,115.2,109.1,132.3,113.7,109.9,101.1,106.9,110.2,99.0,112.9,110.4,85.4,105.8,110.7,102.4,106.2,111.0,112.1,113.8,111.1,110.4,112.8,111.5,109.0,112.3,111.5,117.7,113.4,112.1,121.2,111.9,112.8,118.5,111.4,107.0,123.6,109.5,108.3,136.5,116.8,106.1,106.8,113.4,103.6,92.9,112.0,102.6,101.0,116.6,119.9,94.7,96.5,121.4,95.9,101.4,119.9,95.9,100.1,115.0,113.3,114.6,115.4,124.6,119.9
"동물성 및 식물성 유지 제조업",101.6,95.7,87.6,101.0,88.0,99.7,101.7,96.3,94.2,99.2,88.5,90.8,99.6,94.2,93.9,97.0,90.6,92.1,96.4,97.3,95.7,95.9,105.1,101.6,96.1,95.0,96.2,95.3,97.9,97.3,97.5,91.5,93.1,95.9,98.6,96.6,96.1,104.7,97.8,96.2,86.5,95.8,97.1,98.4,96.6,94.9,98.7,101.7,96.0,96.7,96.0,96.5,98.5,100.4,97.5,102.9,101.1,96.3,99.6,96.3,93.0,102.6,103.7,92.3,90.0,89.6,91.2,99.9,101.5,92.5,110.6,108.0,92.1,106.0,108.4,92.4,99.8,100.6,92.7,103.6,101.7,92.7,83.7,86.8,92.9,87.0,86.5,93.2,89.1,90.8,92.5,86.5,85.0
"낙농제품 및 식용빙과류 제조업",101.2,89.7,99.5,101.2,80.5,98.6,102.0,100.5,98.0,102.2,105.0,102.2,102.4,110.8,98.4,102.2,110.3,96.6,101.7,115.3,99.2,100.9,121.0,100.7,101.3,94.0,100.2,100.9,92.6,98.4,102.4,82.3,98.7,101.7,81.1,99.0,102.2,93.0,102.4,102.4,81.6,100.4,102.3,101.5,100.8,101.2,104.1,99.3,101.1,112.0,95.5,101.2,108.9,95.6,101.7,114.1,96.3,101.5,105.1,87.3,101.6,92.7,98.6,101.5,94.6,100.9,101.8,84.0,100.9,99.9,86.4,105.6,100.0,87.5,100.8,101.5,85.3,98.2,100.2,100.1,97.4,100.4,102.0,101.3,100.1,105.5,91.8,100.1,111.5,96.1,100.9,107.2,90.4
"곡물가공품, 전분 및 전분제품 제조업",97.3,110.8,101.9,98.4,90.8,105.8,97.1,103.4,103.9,96.4,97.9,101.5,95.9,103.2,105.7,96.5,101.5,103.8,96.3,104.0,102.7,95.9,106.5,100.9,95.8,99.8,105.1,96.3,110.6,105.6,96.8,105.5,103.9,97.4,106.5,105.0,97.0,115.1,105.9,96.1,86.4,100.5,96.6,99.2,101.5,96.3,105.6,107.7,96.4,108.0,106.5,96.8,102.3,104.7,96.3,112.9,109.5,96.6,114.0,108.0,96.6,99.0,104.8,96.6,111.4,105.8,96.6,108.5,106.9,98.7,105.8,104.6,97.1,107.5,104.6,97.3,98.3,106.2,97.3,102.0,102.6,97.4,99.7,105.3,96.8,99.4,99.6,97.9,104.8,105.5,97.6,109.0,105.6
"기타 식품 제조업",105.4,109.7,99.4,105.4,89.7,103.6,105.8,98.4,95.1,105.6,97.9,99.3,105.4,103.2,105.6,105.0,96.7,101.6,104.7,94.2,99.7,105.3,97.9,100.6,105.6,94.7,99.0,106.0,107.7,100.4,106.4,105.3,101.0,106.2,102.8,99.2,108.5,111.3,100.7,108.6,83.8,97.0,109.0,100.0,99.1,109.0,101.8,100.8,109.9,99.7,97.4,110.1,91.2,96.1,109.9,100.1,103.6,111.2,92.9,95.6,110.4,95.1,99.4,110.9,107.0,99.6,109.4,106.0,101.6,109.3,108.3,104.4,109.4,105.0,104.6,109.9,97.7,100.3,110.3,109.3,106.0,109.8,104.1,107.7,110.0,98.2,98.3,110.3,98.4,101.5,110.2,102.3,106.0
