산업별,제조업,식료품 제조업,"도축, 육류 가공 및 저장 처리업",수산물 가공 및 저장 처리업,"과실, 채소 가공 및 저장 처리업",동물성 및 식물성 유지 제조업,낙농제품 및 식용빙과류 제조업,"곡물가공품, 전분 및 전분제품 제조업",기타 식품 제조업,동물용 사료 및 조제식품 제조업,음료 제조업,알콜음료 제조업,비알콜음료 및 얼음 제조업,담배 제조업,섬유제품 제조업,방적 및 가공사 제조업,직물직조 및 직물제품 제조업,편조원단 및 편조제품 제조업,"섬유제품 염색, 정리 및 마무리 가공업",기타 섬유제품 제조업,"가죽, 가방 및 신발제조","가죽, 가방 및 유사제품 제조업",신발 및 신발부분품 제조업,목재 및 나무제품,제재 및 목재 가공업,나무제품 제조업,"펄프, 종이 및 종이제품","펄프, 종이 및 판지 제조업","골판지, 종이 상자 및 종이 용기 제조업",기타 종이 및 판지 제품 제조업,"코크스, 연탄 및 석유정제",코크스 및 연탄 제조업,석유 정제품 제조업,화학물질 및 화학제품,기초화학물질 제조업,비료 및 질소화합물 제조업,합성고무 및 플라스틱 물질 제조업,기타 화학제품 제조업,화학섬유 제조업,고무 및 플라스틱제품,고무제품 제조업,플라스틱제품 제조업,비금속 광물제품,유리 및 유리제품 제조업,도자기 및 기타 요업제품 제조업,"시멘트, 석회, 플라스터 및 그 제품 제조업",기타 비금속 광물제품 제조업,1차 금속 제조업,1차 철강 제조업,1차 비철금속 제조업,금속 주조업,금속가공제품 제조업,"구조용 금속제품, 탱크 및 증기발생기 제조업",기타 금속가공제품 제조업,"전자부품, 컴퓨터, 영상음향 및 통신장비",반도체 제조업,전자부품 제조업,컴퓨터 및 주변장치 제조업,통신 및 방송 장비 제조업,영상 및 음향기기 제조업,"의료,정밀, 광학기기 및 시계",의료용 기기 제조업,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","안경, 사진장비 및 기타 광학기기 제조업",전기장비 제조업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",일차전지 및 축전지 제조업,절연선 및 케이블 제조업,전구 및 조명장치 제조업,가정용 기기 제조업,기타 전기장비 제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,특수 목적용 기계 제조업,자동차 및 트레일러 제조업,자동차용 엔진 및 자동차 제조업,자동차 차체 및 트레일러 제조업,자동차 부품 제조업,기타 운송장비 제조업,선박 및 보트 건조업,철도장비 제조업,"항공기,우주선 및 부품 제조업",가구제조업,가구 제조업,기타 제품 제조업,귀금속 및 장신용품 제조업,운동 및 경기용구 제조업,"인형,장난감 및 오락용품 제조업",그외 기타 제품 제조업
2018. 01,102.3,103.1,103.7,97.9,110.8,101.6,101.2,97.3,105.4,98.6,101.9,100.4,103.6,110.1,99.9,91.5,99.8,107.4,100.8,102.9,88.2,94.7,81.2,103.3,101.6,103.9,95.2,102.1,90.4,92.2,105.9,91.1,106.5,106.9,106.4,100,105,109.3,101.5,99,101.6,98.3,103.5,103.8,90.2,100.6,116.3,100,100.1,100,99.8,95.6,96.1,95.3,107.2,126.4,109.5,94.1,60.8,61.8,116.7,108.9,114.4,136.7,102.8,103.1,105.4,93.2,106,104.1,108.4,100.5,100.4,100.4,106.8,99.3,104.7,114.4,77.4,75.1,99.9,92.7,94.6,94.6,101.1,99.8,89.9,85.1,108.2
2018. 02,102.3,103.2,102.3,97,115.3,101,101.2,98.4,105.4,99,102.7,100.3,105.6,111,98.4,89.9,97.9,105.8,100.6,100.9,88.7,95.5,81.3,103.2,103.8,103,95.1,102.2,90.8,91.1,105.9,91.1,106.5,107.1,106.5,100,105,109.4,102.1,98.1,101.5,97.2,103.7,105.3,89.7,100.6,114.8,100.1,100.1,100,100.2,94.8,94.5,94.9,107.2,126.6,109.3,94.2,60.7,61.5,116.3,108.9,113.7,136.4,103.4,102.9,106.8,94.7,106.2,105.1,112.7,101,100.5,101.2,106.6,99.3,104.3,113.9,76.7,74.3,101.3,92.7,93.5,93.5,101.7,100.1,87.8,86.5,109.4
2018. 03,102,103.2,101.1,95.5,114.4,101.7,102,97.1,105.8,99.5,102.1,99.7,104.8,111,97.8,87.2,95.4,109.8,103.2,100.9,87.3,95.6,78.3,102,102.7,101.7,96.8,107,90.5,91.5,105.9,91.1,106.5,107.1,106.6,100,105,109.5,102.1,98.3,101.9,97.3,100.5,106.9,90,95.2,109.6,100.4,100.5,100,100.5,95.2,95.8,95,107.9,127.3,110.6,95.1,60.4,61.5,116.2,109.3,113.2,136.6,103.3,103,106.2,95.4,105.7,104.9,112.7,100.4,100.2,100.3,104.3,93.9,103.9,114.6,76.7,74.2,101.3,93,94.3,94.3,102.7,100.1,94.2,86.6,109.1
2018. 04,102.2,103.3,101.5,98.8,113,99.2,102.2,96.4,105.6,99.7,100.7,97.1,104.8,111,97.8,86.6,97.4,109.8,99.8,101,87.9,96.4,78.8,100.9,101.4,100.7,96.1,105.8,89.9,91.5,105.9,91.1,106.5,107.2,106.6,100,105.5,109.5,102.1,98,101.9,96.9,100.5,106.9,90.3,95.1,109.4,100.2,100.5,99.7,99.5,94.7,95.5,94.3,109.3,131.5,108.5,95.4,61.4,61.3,115.8,109.1,112.8,136,103.4,102.9,105.3,95.1,103.7,107.6,112.7,101.3,102.4,100.3,103.7,93.9,104.8,113.4,74.4,71.7,101.3,92.9,94.6,94.6,104.3,99.9,107.7,81.5,108.8
2018. 05,102.2,103.5,103,99,113.7,99.6,102.4,95.9,105.4,101.1,101.2,97.3,105.7,111,97.1,84.5,96.1,106.5,100.8,100.9,87.9,96.4,78.7,101.4,104.1,100.4,95.9,106.2,89.6,90.5,105.9,91.1,106.5,107.4,106.7,100,105.5,109.7,102.1,98.1,102,97.1,100.7,107.2,90.9,95.1,110.1,100.2,100.5,99.5,99.5,94.4,93.8,94.9,109.9,133,108.6,95.2,59.6,61.1,116.3,108.7,114.4,134,103.1,102.3,105,93.1,105.6,107.5,112.7,101.7,102.2,101.1,103.9,93.9,104.8,113.7,72.6,69.5,101.3,94.8,94.6,94.6,104.3,99.9,107.5,81.3,109
2018. 06,102.7,103.3,100.9,99.3,115,97,102.2,96.5,105,101.8,102.6,99.7,106,111,96.5,82.8,95.3,112.3,99.5,101.1,85.6,96.5,73.8,101.6,104.6,100.5,96.8,108.1,89.8,91,105.9,91.1,106.5,107.4,106.7,100,105.5,109.9,102.1,98.1,101.9,97.1,100.3,107.4,92,94.4,108.8,99.9,100,99.5,99.6,94.1,92.7,95,112.5,138.3,108.7,96.9,59.7,61.3,116.5,108.8,114.7,134,104.3,103,106.8,94.3,108.8,107.6,121.9,101.7,101.8,101.5,103.7,93.9,104.9,113.4,71.8,68.7,101.2,94.6,94.6,94.6,105,99.9,105.4,88.7,109.1
2018. 07,103.2,102.5,97.5,98.7,111,96.4,101.7,96.3,104.7,100.7,103.6,102.9,104.4,111,97,81,97.7,112.7,98.2,101.4,85.3,96,73.8,99.5,105.2,97.5,96.5,106.4,90.5,91,105.8,88.8,106.5,107.5,106.8,100,105.6,110,102.1,97.2,101.9,96,100.2,107.4,90.1,94.4,109.9,99.9,100,99.5,99.7,94.4,93.9,94.8,115.7,145.2,108.4,98,59.7,61.2,115.7,106.8,114.1,135.7,102.8,102.4,104.2,94.9,107.8,103,121.9,101.5,102.5,100.5,103.6,93.9,106.5,113.2,71.2,68,102.4,95.3,94.8,94.8,103.2,99.6,100.9,83.2,108.7
2018. 08,103.3,102.7,97.7,98.8,112,95.9,100.9,95.9,105.3,100.5,102.7,101.2,104.4,111,95.7,80.8,95.2,104.8,98.9,100.6,85.4,96.2,73.8,99,103,97.6,96.8,106.5,89.9,92.8,105.8,88.8,106.5,107.8,107.6,100,105.6,110,102.9,98,105.9,95.9,100.4,107.6,90.1,94.7,109.3,99.8,100,99.5,99.4,93.7,93.5,93.8,115.6,145.1,108.3,98.8,59.3,61.1,116.3,109.2,113.9,134.8,104.5,103,111.1,98.7,108.3,102.9,132,101.6,102.6,100.7,103.8,93.9,106.9,113.5,70.8,67.5,102.3,95.6,95.6,95.6,102.5,99.6,97.9,82.6,108.6
2018. 09,103.7,103.2,100.9,98.3,112.8,96.1,101.3,95.8,105.6,101.3,102.3,100.5,104.4,117.2,95.7,80,96.1,106,96.8,101.5,85.4,96.3,73.8,100,105.2,98.2,97.8,106.3,90,96.6,107,87.2,107.8,107.9,107.5,100,105.6,110.4,102.9,97.9,105.8,95.9,100.3,107.5,90.1,94.6,109,99.8,99.9,99.5,99.6,94.1,94.5,94,117.7,149.3,108.3,100.1,59.7,61.4,116.1,109.1,113.7,134.7,104.7,103.1,111.4,100.1,107.7,102.8,137.2,101.1,102.5,99.8,103.8,93.9,107.4,113.5,70,66.6,102.3,95.6,95.8,95.8,103.5,99.6,101.1,85.6,108.6
2018. 10,103.9,103.4,104.1,98.7,110.3,95.3,100.9,96.3,106,100.9,101.8,99.7,104.3,117.2,94.2,81.1,94.9,103.4,95.3,98.1,85.3,96.1,73.7,99,101.6,98.1,97,106.2,91.1,92.6,107.1,87.2,107.9,107.8,107.4,100,105.6,110.3,102.9,98,105.5,96.1,100,106.8,89,94.3,110.6,99.8,99.9,99.5,99.2,94.2,95.4,93.6,117.9,149.9,107.8,100.7,60.6,61.3,117.7,108.4,116.7,136.7,104.4,103.5,109.3,97.3,107,102.6,142.5,101.6,103.3,100.2,104.3,93.9,107.3,114.5,70.4,67.1,102.4,95.6,96.3,96.3,104,99.4,107.6,80.1,108.7
