산업분류별,기업체수,사업체수,종사자수,자산,부채비율,투자액,매출액,법인세차감전순이익,부가가치,부채,자본,총 자산증가율,자기자본증가율,매출액증가율,전체기업체 대비 신규기업체수
"농업, 임업 및 어업",30,100,4520,2311266,0.684,218567,1517747,13501,282697,938651,1372615,11.48,10.36,-7.03,0
광 업,13,41,1102,584346,1.224,6856,476737,36205,155866,321633,262713,-1.97,-28.17,-8.05,0
제 조 업,6288,22797,1931994,1696251852,0.617,258843063,1478163586,123653974,324527190,647527773,1048724079,5.13,7.38,4,2.798982188
"전기, 가스, 증기 및 공기조절 공급업",62,471,37013,148561537,1.305,8059386,62416905,1181248,15050211,84114501,64447036,3,-0.43,7.85,11.29032258
"수도, 하수 및 폐기물처리, 원료재생업",146,323,13287,6221844,0.798,628912,4889838,476457,1570126,2760488,3461356,7.04,10.11,10.78,1.369863014
건설업,567,3000,281919,198105358,1.286,20054955,182320050,10221067,33779284,111451568,86653790,3.27,6.11,-0.47,2.116402116
도소매업,1497,14984,436896,280630459,0.966,140047597,371906324,10247419,38922310,137911694,142718765,6.56,7.09,5.25,1.870407482
운수 및 창고업,755,3213,217891,114287212,2.214,7954762,99845030,936780,22089239,78731061,35556151,3.25,1.3,5.78,0.662251656
숙박및음식점업,349,10291,191399,56373811,1.184,7145035,34110981,276203,9056471,30557354,25816457,6.91,8.52,7.01,0.859598854
정보통신업,1100,5920,313581,207790295,0.64,48868894,124905386,9412056,43057749,81063286,126727009,9.51,11.14,3.9,5.090909091
금융 및 보험업,357,17279,358094,4253035785,7.037,210705236,610718942,46515043,90498325,3723825659,529210126,7.3,6.72,-1.14,3.081232493
부동산업,252,1794,67839,53654505,0.861,9330531,20743102,2298500,5768465,24817127,28837378,8.32,13.35,-0.15,1.587301587
전문과학기술서비스업,578,1729,124188,35019447,0.795,3968083,26240373,974386,9632882,15513203,19506244,12.17,15.3,5.69,1.384083045
"사업시설관리, 사업지원 및 임대 서비스업",629,4631,523500,25761153,1.294,1561862,31514471,1049791,20651656,14532300,11228853,11.96,11.75,8.64,1.430842607
교 육 서 비 스 업,88,1039,23292,3728206,1.524,266546,3150606,64982,1256227,2250835,1477371,11.07,6.88,10.08,6.818181818
보건업 및 사회복지 서비스업,34,78,3684,539861,2.929,4853,232817,-11565,96121,402463,137398,0.84,-0.22,14.85,0
"예술, 스포츠 및 여가관련 서비스업",304,527,44472,38447529,1.324,1726299,8473206,755467,3684825,21902209,16545320,6.07,14.24,3.58,0.657894737
"협회 및 단체, 수리 및 기타 개인서비스업",95,734,15245,5243795,21.369,103010,3181253,-1031,611222,5009368,234427,15.32,23.4,10.55,2.105263158
