산업별,"도축, 육류 가공 및 저장 처리업",수산물 가공 및 저장 처리업,"과실, 채소 가공 및 저장 처리업",동물성 및 식물성 유지 제조업,낙농제품 및 식용빙과류 제조업,"곡물가공품, 전분 및 전분제품 제조업",기타 식품 제조업,동물용 사료 및 조제식품 제조업,알콜음료 제조업,비알콜음료 및 얼음 제조업,담배 제조업,방적 및 가공사 제조업,직물직조 및 직물제품 제조업,편조원단 및 편조제품 제조업,"섬유제품 염색, 정리 및 마무리 가공업",기타 섬유제품 제조업,봉제의복 제조업,편조의복 제조업,의복 액세서리 제조업,"가죽, 가방 및 유사제품 제조업",신발 및 신발부분품 제조업,제재 및 목재 가공업,나무제품 제조업,"펄프, 종이 및 판지 제조업","골판지, 종이 상자 및 종이 용기 제조업",기타 종이 및 판지 제품 제조업,인쇄 및 인쇄관련 산업,코크스 및 연탄 제조업,석유 정제품 제조업,기초화학물질 제조업,비료 및 질소화합물 제조업,합성고무 및 플라스틱 물질 제조업,기타 화학제품 제조업,화학섬유 제조업,의약품 제조업,고무제품 제조업,플라스틱제품 제조업,유리 및 유리제품 제조업,도자기 및 기타 요업제품 제조업,"시멘트, 석회, 플라스터 및 그 제품 제조업",기타 비금속 광물제품 제조업,1차 철강 제조업,1차 비철금속 제조업,금속 주조업,"구조용 금속제품, 탱크 및 증기발생기 제조업",기타 금속가공제품 제조업,반도체 제조업,전자부품 제조업,컴퓨터 및 주변장치 제조업,통신 및 방송 장비 제조업,영상 및 음향기기 제조업,의료용 기기 제조업,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","안경, 사진장비 및 기타 광학기기 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",일차전지 및 축전지 제조업,절연선 및 케이블 제조업,전구 및 조명장치 제조업,가정용 기기 제조업,기타 전기장비 제조업,일반 목적용 기계 제조업,특수 목적용 기계 제조업,자동차용 엔진 및 자동차 제조업,자동차 차체 및 트레일러 제조업,자동차 부품 제조업,선박 및 보트 건조업,철도장비 제조업,"항공기,우주선 및 부품 제조업",가구 제조업,귀금속 및 장신용품 제조업,운동 및 경기용구 제조업,"인형,장난감 및 오락용품 제조업",그외 기타 제품 제조업
2018-01-01,117.9,106.5,101.4,97.1,89.7,108,115.5,101.7,97.1,111.6,119.2,79.7,84.9,108.1,89.6,101.1,98.6,123.5,104.6,100.8,69.3,92.7,95.9,102.7,103,95.3,107.3,93.6,124.4,116.6,117.5,113.2,122.3,112.3,133.1,98.7,97,112.3,98.2,78.9,61.1,106.1,105.1,94.9,81.8,97.5,138.7,113.2,79.9,65.6,66.3,107.2,131.4,112.9,98.4,112.7,95.5,108.6,101.1,141.3,96.5,134.2,85.9,83.3,92.5,60.6,37.5,89.7,100.3,100,106.8,111.4,90
2018-02-01,96.5,93.1,97.7,88.4,80.8,89.4,95.1,90.5,86.7,93.4,102.9,66.7,73.3,90,76.1,86.8,82.2,90.1,67.4,75.3,63.4,78.1,86.7,94.1,86,76.5,94.4,79.9,113.3,103.9,108.9,102.3,104.7,102.5,107.2,81,82.4,105.9,68.3,74.3,56.7,92.1,91.1,81,66.4,79.5,136,96.7,73.2,50.6,59,95.5,129.1,104.4,89.6,99.4,83.1,99.7,93.7,157,87.7,118.2,73.9,72.8,80.4,46.2,50.1,79.4,95.9,83.1,80.7,102.2,75
2018-03-01,104.3,99.1,119.2,97.7,100.5,100.3,104.1,98.1,97.8,115.8,120.7,80.8,85.5,116.4,103.2,104.8,97.7,127.9,68,99.8,72,101.5,99.6,113.1,98.9,87,106.3,61.6,107.5,111.9,137.7,113.3,124.9,114.6,125.7,98.5,99,122.7,94.1,107.9,101.6,101.8,100.4,100.5,78.4,98.9,158.8,111,90.8,64.6,60.8,121.3,158.2,121.2,105.9,114.8,105,111.9,102.2,169.9,109.1,141.5,95.8,87.3,101.4,52.6,64.1,94.6,113.7,122,82.1,118.4,104.3
2018-04-01,105.9,96.6,117.8,87.8,105.6,94.6,103.6,96.6,94,114.1,113.3,78.9,92.2,108,98.7,100.7,93.2,98,78.5,105.2,77.9,96.2,96.1,103.8,95.4,82.9,101.1,47.2,112.8,111,131.8,108.2,122.1,111,129.2,99.3,96.2,115.8,97.3,111.1,111.8,101.1,102.1,97,80.9,95.2,162.5,107.3,83.1,57.5,51.6,124.1,157.7,113.5,101.8,109,99.3,112,98.6,176.4,105.8,133.6,93.8,101.1,102.2,53.7,97.6,82.3,106.2,105.2,131.4,141.2,101.9
2018-05-01,111.7,104.2,114.3,93.8,112.2,99.3,109.2,103.3,103.2,120.5,116.6,77.4,95.1,110.8,101.4,102.8,81.3,72.9,71.5,98.1,75.3,101.5,96.5,106.4,98.7,84,108.7,41.2,123,114.8,137,112.1,121.6,108.4,131.2,102,97.6,118.7,102.1,114.3,127.5,104.9,105.3,101.2,82.3,95.8,158.5,106.3,79.5,67.1,53.8,120.3,155.3,115.2,102,113.3,99,110.9,102,185.2,110.6,133.4,92.7,102.3,102.9,51.6,106.4,93.8,100.5,107.7,113.9,101.3,119.3
2018-06-01,107.2,92,114.7,88,111.7,98.2,101.5,101.2,105.6,122.6,111,71.2,89.5,116.1,91.8,97.1,77.5,96.6,74.7,90.3,70.7,101.5,95.2,107.5,93.4,81.7,100.6,37.5,118.6,110.2,125.1,109,112.4,103.8,128.3,99.8,95.6,126.1,102.5,115.6,135.8,101.4,100.3,97.2,77.1,94,181.8,106.1,89.8,63.2,44.7,125.6,166.8,110.8,103.1,112.8,99.3,117,98.6,198.8,109.4,131.1,89,106.3,99.8,52.4,122.3,106.3,100.2,107.8,137.4,78.1,107.6
2018-07-01,101.7,93.7,124.2,94,116.9,100.3,98.8,97.4,111.6,129,118.9,69.9,88.7,115.5,86.5,96.7,82,130.8,90.8,113.1,77.1,105.9,96.1,107.3,98.1,80.7,94.1,36.4,123.6,113.9,113.2,110.5,118.7,104.9,133.1,98.3,93.5,121.2,99.9,102.7,113.9,103,100.4,91.4,82.9,93,187.6,113.8,87.4,65.2,45.3,126.4,168,118.4,98.3,117.1,94.1,115.9,103.6,187.3,104,118.4,80.2,93.1,96,52.7,95.6,98.1,97.1,117.7,100.6,92.9,97.5
2018-08-01,113.8,92.5,142.5,101.5,122,101.6,103.3,98.7,107.6,131.2,105.7,66.1,82.1,91,82.3,93.4,90.8,147.9,72.1,104.1,70.7,94.5,92.6,103.9,96.1,83.4,92.2,39.8,117.9,112.9,84.9,111.4,114.7,103.2,124.5,94.2,92.2,120.7,95.4,89.9,90.3,99.8,98.1,88,75,90.3,174.5,119.7,87.6,70.7,43.9,130.1,164.6,122.2,98.6,118,93.4,111.3,103,328.4,94.2,108,78.6,89.9,96,47.1,84.2,93.1,95.5,113.3,98.7,97.1,89
2018-09-01,109.1,96.3,136.9,91.6,94.5,95.2,100.4,99.4,90.5,115.9,101.2,64,77.2,87.1,77.9,89.9,106.2,143.3,64.8,101.3,62.8,88.4,90.3,101.8,89.4,83.2,87.5,68.3,114.5,110.6,90.1,105.4,111.3,105.9,121.1,89.7,88.7,124,90.7,92.3,112.1,94.3,95.1,84.4,73.6,86.4,184.9,110.6,73.5,69.1,46.9,121,161.4,115.4,97,106.6,91.4,110.9,101.7,182.8,93.2,104.5,77.6,82.9,92.2,47.6,81,103.4,87.2,100.9,89.3,82.4,84.1
2018-10-01,111.8,107,143.2,93.4,92.6,106.4,114.3,111.5,106.1,119.3,118.5,76.7,95,96.5,94.4,104.4,120.8,109.2,82.1,106.7,62.5,107.9,96.6,109.2,102.8,92.6,99.4,132,123.1,107.4,62.6,99.5,123.8,110.1,137.4,105.5,102.3,129.6,105.5,111.3,138.4,102.4,105.8,104.4,87.5,101,191.8,115.8,84.5,76,49.6,136.1,159.4,123.9,105,125.9,101.3,126.8,121.9,163.4,103.8,108.2,100.8,89.7,109.7,55.8,93,99.6,106.4,111.4,112,114.5,98.3
