산업별,제조업,식료품 제조업,음료 제조업,담배 제조업,섬유제품 제조업; 의복제외,"의복, 의복액세서리 및 모피제품 제조업","가죽, 가방 및 신발 제조업",목재 및 나무제품 제조업;가구제외,"펄프, 종이 및 종이제품 제조업",인쇄 및 기록매체 복제업,"코크스, 연탄 및 석유정제품 제조업",화학물질 및 화학제품 제조업;의약품 제외,의료용 물질 및 의약품 제조업,고무제품 및 플라스틱제품 제조업,비금속 광물제품 제조업,1차 금속 제조업,금속가공제품 제조업;기계 및 가구 제외,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","의료, 정밀, 광학기기 및 시계 제조업",전기장비 제조업,기타 기계 및 장비 제조업,자동차 및 트레일러 제조업,기타 운송장비 제조업,가구 제조업,기타 제품 제조업
2018-01-01,104.2,108.6,103.9,119.2,90,100.7,84.9,95.3,100.9,107.3,123.5,117.1,133.1,97.4,88.9,105,92,113.7,120.3,102.5,114.6,89.1,64.6,100.3,96.5
2018-02-01,91.7,92.3,89.9,102.9,76.9,81.5,69.3,84.8,86.6,94.4,112.3,103.6,107.2,82.1,81.1,91,74.9,105,113.4,93.4,102.4,77.1,51.5,95.9,79.5
2018-03-01,108.1,103,106.1,120.7,94.8,97,85.8,100.1,101.2,106.3,106.1,116.3,125.7,98.9,110.4,101.3,91.7,122.5,139.8,108.3,124.7,98.4,59.5,113.7,104
2018-04-01,106.8,102.5,103.2,113.3,95,92.2,91.4,96.2,95.3,101.1,110.9,113.6,129.2,96.9,111.5,100.9,90.3,121.8,139.5,104.5,119.2,98.1,60.9,106.2,111.1
2018-05-01,108.1,108.1,111.2,116.6,97.1,80,86.6,97.7,97.8,108.7,120.5,116.1,131.2,98.6,116.2,104.6,91.1,120.6,137.1,105.8,121.6,97.9,60.7,100.5,115.5
2018-06-01,108.4,102.6,113.5,111,90.7,78.5,80.4,96.6,95.7,100.6,116.2,110.5,128.3,96.6,120,100.8,88.1,131.2,144,106.6,119.9,94.6,63.6,100.2,111.3
2018-07-01,108.2,102.1,119.7,118.9,88.8,85.8,94.9,98.3,97.1,94.1,121,114.1,133.1,94.5,109.5,101.5,89.6,136.5,145.9,104.9,111,88.3,61.5,97.1,100.9
2018-08-01,105.1,107,118.5,105.7,83.3,92.6,87.3,93.1,95.8,92.2,115.5,112.3,124.5,92.6,99.8,98.5,85,132.8,146.4,107.2,100.9,87.5,55.5,95.5,95.2
2018-09-01,103,100.9,102.1,101.2,79.1,104.9,81.9,89.9,92.5,87.5,113.1,109,121.1,88.9,104,93.6,82,134.4,140.3,101.7,98.7,85,56.8,87.2,87.6
2018-10-01,113.3,110.6,112.3,118.5,95.1,116.9,84.4,99.2,102.6,99.4,123.4,109.5,137.4,103,119.5,103.1,96.4,140.5,146.5,114,106,105,64.3,106.4,104.3
