"시도별","산업별",2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06 p),2020. 07 p)
"시도별","산업별",생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수)
"전국","석탄, 원유 및 천연가스 광업",138.579,128.934,138.917,139.255,84.433,117.766,122.335,118.274,111.168,117.259,111.675,115.905,102.6,85.1,108.4,108.7,87.2,109.3,103.5,85.8,94.6,101.0,105.6,108.0,95.3,83.9,103.7,94.4,96.8,98.8,100.3,85.5,88.4,98.1,110.1,106.2,90.1,92.1,100.6,93.9,83.8,100.4,83.3,76.2,84.1,63.0,85.0,85.0,88.8,73.9,84.8,85.6,84.2,83.2,72.8,70.1,61.2,51.6,64.7,60.0,74.9,62.8,69.6,77.1,72.2,69.1,67.6,66.3,48.1,35.6,50.6,57.5,63.2,60.5,65.4,61.5,60.6,60.4,51.4
"전국","석탄 광업",104.947,104.711,113.192,119.199,91.284,86.808,96.113,92.697,88.457,97.409,93.757,100.942,100.0,83.1,107.6,108.5,85.8,110.0,104.5,86.0,95.1,104.2,106.4,108.8,96.0,84.4,105.1,97.4,98.0,102.1,100.1,90.0,93.3,99.5,108.5,102.6,86.6,89.6,97.8,91.0,79.7,97.9,80.5,73.5,82.1,62.4,83.0,82.5,84.4,67.3,81.1,81.9,77.8,78.7,68.2,60.0,53.5,59.9,66.5,54.4,69.2,56.2,62.2,71.8,63.7,58.7,59.6,59.2,61.4,60.1,67.0,62.2,55.0,62.6,68.5,63.0,56.0,64.0,59.6
"전국","원유 및 천연가스 채굴업",214.571,184.000,197.714,184.571,68.857,188.000,181.714,176.000,162.571,162.286,152.000,150.000,148.5,122.6,122.8,112.8,113.5,95.6,85.0,82.8,84.8,44.1,92.9,94.6,82.8,75.4,78.5,39.5,74.9,39.2,104.8,4.4,0.0,74.1,139.1,171.1,169.4,151.1,167.1,162.5,176.8,159.9,147.5,138.7,132.7,79.0,132.7,143.9,156.0,139.3,147.5,148.8,154.8,147.4,131.2,143.5,121.7,57.5,98.3,113.9,134.4,114.8,127.3,137.9,133.1,129.9,124.5,121.3,67.4,33.7,68.3,93.2,116.4,101.4,109.0,103.7,108.4,99.8,79.6
"전국","금속 광업",128.897,112.167,121.926,140.304,131.179,139.037,130.292,113.561,120.532,130.545,127.503,123.701,102.2,81.7,102.5,109.5,105.1,108.4,88.4,94.6,97.4,103.2,103.1,103.9,86.1,95.5,111.3,99.3,97.6,92.2,99.7,110.2,94.3,102.0,102.4,49.7,20.7,23.7,38.8,85.5,103.7,109.8,96.0,101.2,101.2,88.1,106.6,133.1,105.5,90.4,106.4,103.9,90.9,104.3,120.1,107.4,100.8,114.6,120.7,92.5,89.0,75.6,94.7,104.1,105.5,102.6,112.1,106.3,100.5,91.6,95.2,100.1,105.8,129.8,131.7,138.4,120.2,129.4,131.8
"전국","철 광업",128.897,112.167,121.926,140.304,131.179,139.037,130.292,113.561,120.532,130.545,127.503,123.701,102.2,81.7,102.5,109.5,105.1,108.4,88.4,94.6,97.4,103.2,103.1,103.9,86.1,95.5,111.3,99.3,97.6,92.2,99.7,110.2,94.3,102.0,102.4,49.7,20.7,23.7,38.8,85.5,103.7,109.8,96.0,101.2,101.2,88.1,106.6,133.1,105.5,90.4,106.4,103.9,90.9,104.3,120.1,107.4,100.8,114.6,120.7,92.5,89.0,75.6,94.7,104.1,105.5,102.6,112.1,106.3,100.5,91.6,95.2,100.1,105.8,129.8,131.7,138.4,120.2,129.4,131.8
"전국","비금속광물 광업;연료용 제외",66.786,61.670,85.637,110.054,120.467,108.438,109.425,89.408,92.819,103.501,93.178,81.239,72.3,62.7,93.3,105.8,116.2,121.3,107.4,99.6,105.1,109.0,100.4,106.9,77.9,71.9,101.2,113.2,119.1,122.6,106.8,111.0,103.8,110.3,115.2,108.9,79.3,78.2,106.3,110.8,125.9,130.1,103.3,99.3,107.3,95.9,108.4,100.7,71.0,62.0,92.1,99.0,107.7,107.2,98.8,89.5,87.5,106.1,104.4,93.2,77.2,61.1,89.7,99.8,106.3,101.2,92.6,85.5,76.6,96.8,101.3,100.1,72.4,74.3,92.1,106.0,98.8,101.2,82.7
"전국","토사석 광업",73.291,67.183,94.075,102.735,103.191,101.185,101.367,87.876,92.616,104.376,102.552,89.335,72.8,63.0,94.2,105.3,114.3,117.7,106.8,99.3,105.2,110.5,101.9,109.0,78.4,72.4,102.8,114.1,117.7,122.2,105.4,106.7,103.8,111.8,117.1,110.5,80.0,78.8,107.5,111.2,124.7,126.2,102.5,98.9,107.4,96.7,109.5,101.7,70.6,62.0,92.2,98.7,106.8,105.5,96.2,86.2,86.0,106.4,105.5,94.7,77.6,61.6,90.6,100.1,103.8,99.4,91.7,83.5,76.0,97.4,102.1,101.0,72.9,74.3,92.8,104.8,98.2,100.5,82.9
"전국","기타 비금속광물 광업",17.457,19.905,22.038,164.929,250.790,162.322,169.984,100.869,93.523,96.682,22.117,20.221,58.1,53.9,66.1,119.3,168.8,219.7,124.9,108.7,102.4,67.6,60.1,50.3,61.9,58.5,56.5,89.4,156.3,134.9,144.0,228.1,105.4,69.2,62.4,64.9,47.5,55.2,56.4,97.9,183.1,307.4,137.7,118.1,103.8,61.7,60.8,57.4,81.7,62.6,92.0,108.9,130.1,149.5,161.3,165.0,123.2,102.9,80.5,63.3,66.9,48.6,67.4,91.4,171.3,150.5,114.4,138.5,92.1,82.2,78.9,75.2,61.5,75.3,76.3,137.8,115.6,117.6,77.6
"전국","제조업",97.689,93.068,104.436,104.159,100.555,100.832,104.436,93.715,95.749,102.126,100.555,105.730,97.8,87.6,102.8,101.9,97.9,102.3,100.6,94.5,100.7,106.3,103.2,104.4,97.2,89.2,105.5,100.3,103.6,106.0,102.8,97.6,99.2,105.7,109.7,111.0,99.1,97.6,110.9,104.7,105.6,106.4,104.7,101.1,110.6,100.4,109.5,105.6,104.2,91.7,108.1,106.8,108.1,108.4,108.2,105.1,103.0,113.3,109.8,106.9,103.8,88.3,105.2,106.9,108.6,106.0,110.3,102.8,104.6,112.3,111.2,114.3,101.1,98.8,113.8,101.5,97.8,105.5,107.6
