"시도별","산업별",2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06 p),2020. 07 p)
"시도별","산업별",생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수),생산지수(원지수)
"전국","제조업",104.2,91.7,108.1,106.8,108.1,108.4,108.2,105.1,103.0,113.3,109.8,106.9,103.8,88.3,105.2,106.9,108.6,106.0,110.3,102.8,104.6,112.3,111.2,114.3,101.1,98.8,113.8,101.5,97.8,105.5,107.6
"전국","식료품 제조업",108.6,92.3,103.0,102.5,108.1,102.6,102.1,107.0,100.9,110.6,107.5,104.3,115.8,89.3,105.5,108.6,109.8,102.5,110.6,106.7,102.8,112.7,109.8,110.5,108.1,101.1,112.1,108.8,104.3,108.1,111.4
"전국","음료 제조업",103.9,89.9,106.1,103.2,111.2,113.5,119.7,118.5,102.1,112.3,94.1,90.0,106.3,85.3,101.8,108.9,118.1,110.7,113.1,108.4,100.7,104.7,92.3,90.0,95.8,88.8,91.4,100.2,103.1,116.5,115.8
"전국","담배 제조업",119.2,102.9,120.7,113.3,116.6,111.0,118.9,105.7,101.2,118.5,125.7,79.6,111.3,92.9,127.7,132.1,131.3,128.4,147.3,119.0,117.4,115.2,125.7,104.4,114.4,125.7,128.5,111.0,109.5,135.6,161.8
"전국","섬유제품 제조업; 의복제외",90.0,76.9,94.8,95.0,97.1,90.7,88.8,83.3,79.1,95.1,89.4,84.7,84.9,70.9,86.4,89.3,89.6,83.1,86.9,78.1,78.4,89.0,83.5,82.9,75.0,76.8,86.3,65.8,61.0,68.3,76.3
"전국","의복, 의복액세서리 및 모피제품 제조업",100.7,81.5,97.0,92.2,80.0,78.5,85.8,92.6,104.9,116.9,101.5,91.3,100.0,70.8,93.2,82.8,77.1,73.4,80.3,86.0,96.4,105.6,93.2,85.5,91.1,60.5,64.1,66.5,59.3,61.3,60.0
"전국","가죽, 가방 및 신발 제조업",84.9,69.3,85.8,91.4,86.6,80.4,94.9,87.3,81.9,84.4,79.8,67.2,72.2,56.3,77.6,77.0,79.2,67.5,74.0,68.3,75.4,73.8,73.4,63.8,66.6,52.5,52.8,49.4,46.2,46.5,46.8
"전국","목재 및 나무제품 제조업;가구제외",95.3,84.8,100.1,96.2,97.7,96.6,98.3,93.1,89.9,99.2,99.1,93.5,90.4,78.0,95.5,90.0,87.9,80.3,86.7,79.5,77.2,90.1,90.8,89.4,81.1,82.7,90.2,87.3,76.6,84.4,83.7
"전국","펄프, 종이 및 종이제품 제조업",100.9,86.6,101.2,95.3,97.8,95.7,97.1,95.8,92.5,102.6,101.7,97.0,102.5,82.8,96.2,94.1,95.7,91.7,99.3,96.1,91.3,99.2,98.7,98.9,94.3,92.9,100.2,91.8,87.1,89.6,92.4
"전국","인쇄 및 기록매체 복제업",107.3,94.4,106.3,101.1,108.7,100.6,94.1,92.2,87.5,99.4,104.8,108.8,100.3,82.6,96.8,96.0,91.4,89.6,94.3,84.3,86.7,94.2,99.9,122.8,90.5,88.9,95.0,91.2,82.6,93.5,98.2
"전국","코크스, 연탄 및 석유정제품 제조업",123.5,112.3,106.1,110.9,120.5,116.2,121.0,115.5,113.1,123.4,119.1,122.1,122.0,111.0,112.9,116.5,111.0,110.5,117.2,118.5,112.4,109.1,113.7,121.4,118.3,108.6,116.5,100.7,102.8,102.7,109.6
"전국","화학물질 및 화학제품 제조업;의약품 제외",117.1,103.6,116.3,113.6,116.1,110.5,114.1,112.3,109.0,109.5,107.0,110.3,116.7,100.1,111.7,109.6,109.7,101.8,112.9,108.9,107.4,107.6,106.3,113.3,111.9,106.7,111.2,103.3,95.7,96.6,103.7
"전국","의료용 물질 및 의약품 제조업",133.1,107.2,125.7,129.2,131.2,128.3,133.1,124.5,121.1,137.4,134.7,132.3,123.6,109.5,128.7,137.5,134.2,128.8,129.4,113.7,130.2,140.4,140.4,142.5,130.5,134.0,146.8,140.3,144.0,151.6,160.3
"전국","고무제품 및 플라스틱제품 제조업",97.4,82.1,98.9,96.9,98.6,96.6,94.5,92.6,88.9,103.0,99.3,92.7,97.4,79.3,96.6,98.0,97.9,93.7,97.3,84.5,85.6,96.1,92.2,88.3,83.6,82.6,93.8,79.3,74.9,82.5,89.6
"전국","비금속 광물제품 제조업",88.9,81.1,110.4,111.5,116.2,120.0,109.5,99.8,104.0,119.5,118.1,108.3,95.5,76.7,103.9,111.3,114.5,110.6,108.5,103.2,94.2,110.8,111.5,107.4,79.6,81.2,103.0,103.5,94.2,101.9,89.7
"전국","1차 금속 제조업",105.0,91.0,101.3,100.9,104.6,100.8,101.5,98.5,93.6,103.1,101.5,98.8,104.0,88.7,101.8,100.1,101.6,97.5,101.2,93.5,91.9,98.6,96.6,97.0,94.5,94.6,99.1,92.1,84.9,81.8,87.2
"전국","금속가공제품 제조업;기계 및 가구 제외",92.0,74.9,91.7,90.3,91.1,88.1,89.6,85.0,82.0,96.4,97.9,87.7,90.7,73.5,90.6,92.2,91.5,87.4,92.1,83.1,84.5,94.4,92.3,89.4,81.1,82.5,91.5,83.6,74.9,79.2,81.5
"전국","전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",113.7,105.0,122.5,121.8,120.6,131.2,136.5,132.8,134.4,140.5,127.7,124.0,110.6,102.9,117.9,119.3,127.3,134.6,136.6,139.8,143.5,148.5,151.4,151.0,134.1,132.4,152.3,125.9,139.2,150.9,144.5
"전국","의료, 정밀, 광학기기 및 시계 제조업",120.3,113.4,139.8,139.5,137.1,144.0,145.9,146.4,140.3,146.5,131.3,128.8,120.7,99.6,123.0,129.8,128.8,116.6,129.3,113.8,113.8,125.1,123.7,126.7,109.2,119.3,134.1,120.6,113.8,129.8,130.6
"전국","전기장비 제조업",102.5,93.4,108.3,104.5,105.8,106.6,104.9,107.2,101.7,114.0,117.1,111.5,104.2,88.8,107.1,108.5,109.5,106.2,110.1,102.4,106.0,116.6,112.7,120.6,97.0,95.4,110.7,101.0,93.2,106.7,106.8
